algorithm,instance,objective_value,path_length,node_costs,computation_time_ms,selected_nodes,total_nodes
ALNS_d-0.25_rho-0.15_seg-7_cool-0.9999_ls-On,TSPA,69293,21497,47796,4987,100,200
ALNS_d-0.25_rho-0.15_seg-7_cool-0.9999_ls-On,TSPA,69255,21655,47600,5030,100,200
ALNS_d-0.25_rho-0.15_seg-7_cool-0.9999_ls-On,TSPA,69288,21492,47796,5071,100,200
ALNS_d-0.25_rho-0.15_seg-7_cool-0.9999_ls-On,TSPA,69224,21615,47609,5026,100,200
ALNS_d-0.25_rho-0.15_seg-7_cool-0.9999_ls-On,TSPA,69207,21568,47639,5033,100,200
ALNS_d-0.25_rho-0.15_seg-7_cool-0.9999_ls-On,TSPA,69327,21609,47718,5037,100,200
ALNS_d-0.25_rho-0.15_seg-7_cool-0.9999_ls-On,TSPA,69207,21568,47639,5074,100,200
ALNS_d-0.25_rho-0.15_seg-7_cool-0.9999_ls-On,TSPA,69272,21515,47757,5089,100,200
ALNS_d-0.25_rho-0.15_seg-7_cool-0.9999_ls-On,TSPA,69293,21497,47796,5034,100,200
ALNS_d-0.25_rho-0.15_seg-7_cool-0.9999_ls-On,TSPA,69209,21570,47639,5032,100,200
ALNS_d-0.25_rho-0.15_seg-7_cool-0.9999_ls-On,TSPA,69207,21568,47639,5008,100,200
ALNS_d-0.25_rho-0.15_seg-7_cool-0.9999_ls-On,TSPA,69148,21712,47436,5036,100,200
ALNS_d-0.25_rho-0.15_seg-7_cool-0.9999_ls-On,TSPA,69233,21714,47519,5030,100,200
ALNS_d-0.25_rho-0.15_seg-7_cool-0.9999_ls-On,TSPA,69250,21506,47744,5087,100,200
ALNS_d-0.25_rho-0.15_seg-7_cool-0.9999_ls-On,TSPA,69200,21561,47639,5035,100,200
ALNS_d-0.25_rho-0.15_seg-7_cool-0.9999_ls-On,TSPA,69216,21538,47678,5057,100,200
ALNS_d-0.25_rho-0.15_seg-7_cool-0.9999_ls-On,TSPA,69293,21497,47796,5044,100,200
ALNS_d-0.25_rho-0.15_seg-7_cool-0.9999_ls-On,TSPA,69250,21611,47639,5083,100,200
ALNS_d-0.25_rho-0.15_seg-7_cool-0.9999_ls-On,TSPA,69255,21655,47600,5058,100,200
ALNS_d-0.25_rho-0.15_seg-7_cool-0.9999_ls-On,TSPA,69293,21497,47796,4992,100,200
ALNS_d-0.25_rho-0.20_seg-9_cool-1.0000_ls-On,TSPA,69317,21678,47639,5029,100,200
ALNS_d-0.25_rho-0.20_seg-9_cool-1.0000_ls-On,TSPA,69271,21766,47505,5001,100,200
ALNS_d-0.25_rho-0.20_seg-9_cool-1.0000_ls-On,TSPA,69331,21653,47678,5023,100,200
ALNS_d-0.25_rho-0.20_seg-9_cool-1.0000_ls-On,TSPA,69221,21595,47626,5067,100,200
ALNS_d-0.25_rho-0.20_seg-9_cool-1.0000_ls-On,TSPA,69250,21611,47639,5031,100,200
ALNS_d-0.25_rho-0.20_seg-9_cool-1.0000_ls-On,TSPA,69274,21635,47639,5006,100,200
ALNS_d-0.25_rho-0.20_seg-9_cool-1.0000_ls-On,TSPA,69267,21658,47609,4970,100,200
ALNS_d-0.25_rho-0.20_seg-9_cool-1.0000_ls-On,TSPA,69257,21579,47678,4985,100,200
ALNS_d-0.25_rho-0.20_seg-9_cool-1.0000_ls-On,TSPA,69250,21611,47639,4989,100,200
ALNS_d-0.25_rho-0.20_seg-9_cool-1.0000_ls-On,TSPA,69255,21655,47600,5012,100,200
ALNS_d-0.25_rho-0.20_seg-9_cool-1.0000_ls-On,TSPA,69319,21739,47580,5009,100,200
ALNS_d-0.25_rho-0.20_seg-9_cool-1.0000_ls-On,TSPA,69258,21619,47639,5038,100,200
ALNS_d-0.25_rho-0.20_seg-9_cool-1.0000_ls-On,TSPA,69207,21568,47639,4992,100,200
ALNS_d-0.25_rho-0.20_seg-9_cool-1.0000_ls-On,TSPA,69255,21655,47600,5006,100,200
ALNS_d-0.25_rho-0.20_seg-9_cool-1.0000_ls-On,TSPA,69221,21543,47678,5019,100,200
ALNS_d-0.25_rho-0.20_seg-9_cool-1.0000_ls-On,TSPA,69207,21568,47639,5014,100,200
ALNS_d-0.25_rho-0.20_seg-9_cool-1.0000_ls-On,TSPA,69274,21635,47639,4986,100,200
ALNS_d-0.25_rho-0.20_seg-9_cool-1.0000_ls-On,TSPA,69285,21489,47796,5033,100,200
