algorithm,instance,objective_value,path_length,node_costs,computation_time_ms,selected_nodes,total_nodes
ALNS_d-0.25_rho-0.10_seg-100_cool-0.9995_ls-On,TSPB,43465,19526,23939,5327,100,200
ALNS_d-0.25_rho-0.10_seg-100_cool-0.9995_ls-On,TSPB,43611,19420,24191,5328,100,200
ALNS_d-0.25_rho-0.10_seg-100_cool-0.9995_ls-On,TSPB,43537,18909,24628,5289,100,200
ALNS_d-0.25_rho-0.10_seg-100_cool-0.9995_ls-On,TSPB,43615,19537,24078,5281,100,200
ALNS_d-0.25_rho-0.10_seg-100_cool-0.9995_ls-On,TSPB,43581,18926,24655,5298,100,200
ALNS_d-0.25_rho-0.10_seg-100_cool-0.9995_ls-On,TSPB,43672,18567,25105,5281,100,200
ALNS_d-0.25_rho-0.10_seg-100_cool-0.9995_ls-On,TSPB,43579,19501,24078,5335,100,200
ALNS_d-0.25_rho-0.10_seg-100_cool-0.9995_ls-On,TSPB,43503,19312,24191,5254,100,200
ALNS_d-0.25_rho-0.10_seg-100_cool-0.9995_ls-On,TSPB,43532,19031,24501,5311,100,200
ALNS_d-0.25_rho-0.10_seg-100_cool-0.9995_ls-On,TSPB,43537,18909,24628,5188,100,200
ALNS_d-0.25_rho-0.10_seg-100_cool-0.9995_ls-On,TSPB,43579,19501,24078,5320,100,200
ALNS_d-0.25_rho-0.10_seg-100_cool-0.9995_ls-On,TSPB,43535,19121,24414,5299,100,200
ALNS_d-0.25_rho-0.10_seg-100_cool-0.9995_ls-On,TSPB,43537,18909,24628,5302,100,200
ALNS_d-0.25_rho-0.10_seg-100_cool-0.9995_ls-On,TSPB,43677,19010,24667,5309,100,200
ALNS_d-0.25_rho-0.10_seg-100_cool-0.9995_ls-On,TSPB,43514,19575,23939,5317,100,200
ALNS_d-0.25_rho-0.10_seg-100_cool-0.9995_ls-On,TSPB,43505,19221,24284,5296,100,200
ALNS_d-0.25_rho-0.10_seg-100_cool-0.9995_ls-On,TSPB,43597,19506,24091,5297,100,200
ALNS_d-0.25_rho-0.10_seg-100_cool-0.9995_ls-On,TSPB,43574,18946,24628,5290,100,200
ALNS_d-0.25_rho-0.10_seg-100_cool-0.9995_ls-On,TSPB,43677,19010,24667,5302,100,200
ALNS_d-0.25_rho-0.10_seg-100_cool-0.9995_ls-On,TSPB,43495,19391,24104,5260,100,200
ALNS_d-0.35_rho-0.10_seg-100_cool-0.9995_ls-On,TSPB,43665,18422,25243,3967,100,200
ALNS_d-0.35_rho-0.10_seg-100_cool-0.9995_ls-On,TSPB,43624,19433,24191,4011,100,200
ALNS_d-0.35_rho-0.10_seg-100_cool-0.9995_ls-On,TSPB,43462,19526,23936,3992,100,200
ALNS_d-0.35_rho-0.10_seg-100_cool-0.9995_ls-On,TSPB,43503,19312,24191,3976,100,200
ALNS_d-0.35_rho-0.10_seg-100_cool-0.9995_ls-On,TSPB,43670,19042,24628,4041,100,200
ALNS_d-0.35_rho-0.10_seg-100_cool-0.9995_ls-On,TSPB,43584,19150,24434,3968,100,200
ALNS_d-0.35_rho-0.10_seg-100_cool-0.9995_ls-On,TSPB,43705,19491,24214,3994,100,200
ALNS_d-0.35_rho-0.10_seg-100_cool-0.9995_ls-On,TSPB,43579,19501,24078,4031,100,200
ALNS_d-0.35_rho-0.10_seg-100_cool-0.9995_ls-On,TSPB,43665,18422,25243,4025,100,200
ALNS_d-0.35_rho-0.10_seg-100_cool-0.9995_ls-On,TSPB,43541,19338,24203,3966,100,200
ALNS_d-0.35_rho-0.10_seg-100_cool-0.9995_ls-On,TSPB,43503,19312,24191,4030,100,200
ALNS_d-0.35_rho-0.10_seg-100_cool-0.9995_ls-On,TSPB,43503,19312,24191,3981,100,200
ALNS_d-0.35_rho-0.10_seg-100_cool-0.9995_ls-On,TSPB,43642,19245,24397,3989,100,200
ALNS_d-0.35_rho-0.10_seg-100_cool-0.9995_ls-On,TSPB,43672,18567,25105,3947,100,200
ALNS_d-0.35_rho-0.10_seg-100_cool-0.9995_ls-On,TSPB,43716,19288,24428,3958,100,200
ALNS_d-0.35_rho-0.10_seg-100_cool-0.9995_ls-On,TSPB,43635,19176,24459,4009,100,200
