algorithm,instance,objective_value,path_length,node_costs,computation_time_ms,selected_nodes,total_nodes
CandidateMoves_k10_Nodes_Random_start0,TSPA,93272,42738,50534,104,100,200
CandidateMoves_k10_Nodes_Random_start1,TSPA,91435,39842,51593,44,100,200
CandidateMoves_k10_Nodes_Random_start2,TSPA,92450,40243,52207,40,100,200
CandidateMoves_k10_Nodes_Random_start3,TSPA,89246,37250,51996,38,100,200
CandidateMoves_k10_Nodes_Random_start4,TSPA,89627,39107,50520,33,100,200
CandidateMoves_k10_Nodes_Random_start5,TSPA,96470,45198,51272,26,100,200
CandidateMoves_k10_Nodes_Random_start6,TSPA,97783,46815,50968,23,100,200
CandidateMoves_k10_Nodes_Random_start7,TSPA,97965,47156,50809,18,100,200
CandidateMoves_k10_Nodes_Random_start8,TSPA,84611,34167,50444,13,100,200
CandidateMoves_k10_Nodes_Random_start9,TSPA,96411,46032,50379,15,100,200
CandidateMoves_k10_Nodes_Random_start10,TSPA,92535,41557,50978,19,100,200
CandidateMoves_k10_Nodes_Random_start11,TSPA,99412,48603,50809,21,100,200
CandidateMoves_k10_Nodes_Random_start12,TSPA,100378,47676,52702,14,100,200
CandidateMoves_k10_Nodes_Random_start13,TSPA,92139,39640,52499,13,100,200
CandidateMoves_k10_Nodes_Random_start14,TSPA,91665,40939,50726,13,100,200
CandidateMoves_k10_Nodes_Random_start15,TSPA,95483,45318,50165,16,100,200
CandidateMoves_k10_Nodes_Random_start16,TSPA,90304,39244,51060,12,100,200
CandidateMoves_k10_Nodes_Random_start17,TSPA,92299,40020,52279,14,100,200
CandidateMoves_k10_Nodes_Random_start18,TSPA,93405,41215,52190,13,100,200
CandidateMoves_k10_Nodes_Random_start19,TSPA,92804,41618,51186,17,100,200
CandidateMoves_k10_Nodes_Random_start20,TSPA,91624,39898,51726,17,100,200
CandidateMoves_k10_Nodes_Random_start21,TSPA,91968,40596,51372,20,100,200
CandidateMoves_k10_Nodes_Random_start22,TSPA,99302,48003,51299,16,100,200
CandidateMoves_k10_Nodes_Random_start23,TSPA,89943,38522,51421,13,100,200
CandidateMoves_k10_Nodes_Random_start24,TSPA,98307,44372,53935,14,100,200
CandidateMoves_k10_Nodes_Random_start25,TSPA,90121,37589,52532,12,100,200
CandidateMoves_k10_Nodes_Random_start26,TSPA,104430,51876,52554,12,100,200
CandidateMoves_k10_Nodes_Random_start27,TSPA,88643,34159,54484,13,100,200
CandidateMoves_k10_Nodes_Random_start28,TSPA,93776,41656,52120,14,100,200
CandidateMoves_k10_Nodes_Random_start29,TSPA,93204,42127,51077,15,100,200
CandidateMoves_k10_Nodes_Random_start30,TSPA,91640,40390,51250,12,100,200
CandidateMoves_k10_Nodes_Random_start31,TSPA,95867,46005,49862,12,100,200
CandidateMoves_k10_Nodes_Random_start32,TSPA,93486,41014,52472,12,100,200
CandidateMoves_k10_Nodes_Random_start33,TSPA,97081,46391,50690,12,100,200
CandidateMoves_k10_Nodes_Random_start34,TSPA,88948,39794,49154,12,100,200
CandidateMoves_k10_Nodes_Random_start35,TSPA,88833,39089,49744,16,100,200
CandidateMoves_k10_Nodes_Random_start36,TSPA,95340,45256,50084,16,100,200
CandidateMoves_k10_Nodes_Random_start37,TSPA,88458,38744,49714,19,100,200
CandidateMoves_k10_Nodes_Random_start38,TSPA,97347,47246,50101,12,100,200
CandidateMoves_k10_Nodes_Random_start39,TSPA,105895,53225,52670,12,100,200
CandidateMoves_k10_Nodes_Random_start40,TSPA,99679,49629,50050,18,100,200
CandidateMoves_k10_Nodes_Random_start41,TSPA,87064,36633,50431,31,100,200
CandidateMoves_k10_Nodes_Random_start42,TSPA,86256,34668,51588,23,100,200
CandidateMoves_k10_Nodes_Random_start43,TSPA,93780,42304,51476,19,100,200
CandidateMoves_k10_Nodes_Random_start44,TSPA,87593,37784,49809,17,100,200
CandidateMoves_k10_Nodes_Random_start45,TSPA,94007,42034,51973,16,100,200
CandidateMoves_k10_Nodes_Random_start46,TSPA,96521,45638,50883,17,100,200
CandidateMoves_k10_Nodes_Random_start47,TSPA,86466,36741,49725,21,100,200
CandidateMoves_k10_Nodes_Random_start48,TSPA,92069,40045,52024,15,100,200
CandidateMoves_k10_Nodes_Random_start49,TSPA,90703,39370,51333,18,100,200
CandidateMoves_k10_Nodes_Random_start50,TSPA,89422,36012,53410,14,100,200
CandidateMoves_k10_Nodes_Random_start51,TSPA,95928,43372,52556,17,100,200
CandidateMoves_k10_Nodes_Random_start52,TSPA,98601,46835,51766,12,100,200
CandidateMoves_k10_Nodes_Random_start53,TSPA,100190,46075,54115,13,100,200
CandidateMoves_k10_Nodes_Random_start54,TSPA,94333,41454,52879,21,100,200
CandidateMoves_k10_Nodes_Random_start55,TSPA,96523,45446,51077,13,100,200
CandidateMoves_k10_Nodes_Random_start56,TSPA,98005,47321,50684,13,100,200
CandidateMoves_k10_Nodes_Random_start57,TSPA,101138,49981,51157,11,100,200
CandidateMoves_k10_Nodes_Random_start58,TSPA,95211,43332,51879,14,100,200
CandidateMoves_k10_Nodes_Random_start59,TSPA,97456,45423,52033,14,100,200
CandidateMoves_k10_Nodes_Random_start60,TSPA,97764,46237,51527,13,100,200
CandidateMoves_k10_Nodes_Random_start61,TSPA,94804,45361,49443,14,100,200
CandidateMoves_k10_Nodes_Random_start62,TSPA,94419,41464,52955,16,100,200
