algorithm,instance,objective_value,path_length,node_costs,computation_time_ms,selected_nodes,total_nodes
CandidateMoves_k10_Nodes_Random_start0,TSPB,67174,40109,27065,20,100,200
CandidateMoves_k10_Nodes_Random_start1,TSPB,61099,33674,27425,22,100,200
CandidateMoves_k10_Nodes_Random_start2,TSPB,64420,37164,27256,16,100,200
CandidateMoves_k10_Nodes_Random_start3,TSPB,70523,43703,26820,14,100,200
CandidateMoves_k10_Nodes_Random_start4,TSPB,69592,41716,27876,13,100,200
CandidateMoves_k10_Nodes_Random_start5,TSPB,63892,36643,27249,16,100,200
CandidateMoves_k10_Nodes_Random_start6,TSPB,73466,47703,25763,12,100,200
CandidateMoves_k10_Nodes_Random_start7,TSPB,73682,46130,27552,17,100,200
CandidateMoves_k10_Nodes_Random_start8,TSPB,67352,38312,29040,12,100,200
CandidateMoves_k10_Nodes_Random_start9,TSPB,68621,38217,30404,12,100,200
CandidateMoves_k10_Nodes_Random_start10,TSPB,67961,38780,29181,12,100,200
CandidateMoves_k10_Nodes_Random_start11,TSPB,63002,35256,27746,13,100,200
CandidateMoves_k10_Nodes_Random_start12,TSPB,67267,38239,29028,13,100,200
CandidateMoves_k10_Nodes_Random_start13,TSPB,68987,40995,27992,12,100,200
CandidateMoves_k10_Nodes_Random_start14,TSPB,75398,46985,28413,13,100,200
CandidateMoves_k10_Nodes_Random_start15,TSPB,61401,33611,27790,17,100,200
CandidateMoves_k10_Nodes_Random_start16,TSPB,70105,40641,29464,14,100,200
CandidateMoves_k10_Nodes_Random_start17,TSPB,70561,41666,28895,11,100,200
CandidateMoves_k10_Nodes_Random_start18,TSPB,66635,41094,25541,13,100,200
CandidateMoves_k10_Nodes_Random_start19,TSPB,68715,41904,26811,12,100,200
CandidateMoves_k10_Nodes_Random_start20,TSPB,70670,43419,27251,12,100,200
CandidateMoves_k10_Nodes_Random_start21,TSPB,68561,39303,29258,11,100,200
CandidateMoves_k10_Nodes_Random_start22,TSPB,72562,46669,25893,13,100,200
CandidateMoves_k10_Nodes_Random_start23,TSPB,71300,44363,26937,11,100,200
CandidateMoves_k10_Nodes_Random_start24,TSPB,71188,44777,26411,13,100,200
CandidateMoves_k10_Nodes_Random_start25,TSPB,68718,41168,27550,12,100,200
CandidateMoves_k10_Nodes_Random_start26,TSPB,68004,38686,29318,16,100,200
CandidateMoves_k10_Nodes_Random_start27,TSPB,67169,39137,28032,13,100,200
CandidateMoves_k10_Nodes_Random_start28,TSPB,77088,49906,27182,11,100,200
CandidateMoves_k10_Nodes_Random_start29,TSPB,72548,45329,27219,13,100,200
CandidateMoves_k10_Nodes_Random_start30,TSPB,68023,41016,27007,12,100,200
CandidateMoves_k10_Nodes_Random_start31,TSPB,63894,36121,27773,13,100,200
CandidateMoves_k10_Nodes_Random_start32,TSPB,66034,37008,29026,13,100,200
CandidateMoves_k10_Nodes_Random_start33,TSPB,67599,35824,31775,12,100,200
CandidateMoves_k10_Nodes_Random_start34,TSPB,69041,38609,30432,11,100,200
CandidateMoves_k10_Nodes_Random_start35,TSPB,78116,50691,27425,12,100,200
CandidateMoves_k10_Nodes_Random_start36,TSPB,65295,39878,25417,17,100,200
CandidateMoves_k10_Nodes_Random_start37,TSPB,65999,37348,28651,17,100,200
CandidateMoves_k10_Nodes_Random_start38,TSPB,67555,41587,25968,14,100,200
CandidateMoves_k10_Nodes_Random_start39,TSPB,63333,33751,29582,13,100,200
CandidateMoves_k10_Nodes_Random_start40,TSPB,66147,37993,28154,16,100,200
CandidateMoves_k10_Nodes_Random_start41,TSPB,66936,38325,28611,18,100,200
CandidateMoves_k10_Nodes_Random_start42,TSPB,71088,42838,28250,13,100,200
CandidateMoves_k10_Nodes_Random_start43,TSPB,68241,41671,26570,12,100,200
