algorithm,instance,objective_value,path_length,node_costs,computation_time_ms,selected_nodes,total_nodes
Deltas_NODE_SWAP_RandomSolution_start0,TSPA,87522,38458,49064,117,100,200
Deltas_NODE_SWAP_RandomSolution_start1,TSPA,85225,37547,47678,34,100,200
Deltas_NODE_SWAP_RandomSolution_start2,TSPA,88450,37958,50492,37,100,200
Deltas_NODE_SWAP_RandomSolution_start3,TSPA,85252,34493,50759,31,100,200
Deltas_NODE_SWAP_RandomSolution_start4,TSPA,83064,33633,49431,28,100,200
Deltas_NODE_SWAP_RandomSolution_start5,TSPA,85435,34533,50902,28,100,200
Deltas_NODE_SWAP_RandomSolution_start6,TSPA,91318,43321,47997,27,100,200
Deltas_NODE_SWAP_RandomSolution_start7,TSPA,83794,35370,48424,40,100,200
Deltas_NODE_SWAP_RandomSolution_start8,TSPA,87838,38880,48958,46,100,200
Deltas_NODE_SWAP_RandomSolution_start9,TSPA,91347,40647,50700,34,100,200
Deltas_NODE_SWAP_RandomSolution_start10,TSPA,91998,43290,48708,26,100,200
Deltas_NODE_SWAP_RandomSolution_start11,TSPA,86355,37810,48545,28,100,200
Deltas_NODE_SWAP_RandomSolution_start12,TSPA,88616,40007,48609,29,100,200
Deltas_NODE_SWAP_RandomSolution_start13,TSPA,85155,35489,49666,27,100,200
Deltas_NODE_SWAP_RandomSolution_start14,TSPA,88276,38528,49748,25,100,200
Deltas_NODE_SWAP_RandomSolution_start15,TSPA,85817,35227,50590,29,100,200
Deltas_NODE_SWAP_RandomSolution_start16,TSPA,93242,44523,48719,26,100,200
Deltas_NODE_SWAP_RandomSolution_start17,TSPA,88267,39955,48312,27,100,200
Deltas_NODE_SWAP_RandomSolution_start18,TSPA,84768,36576,48192,51,100,200
Deltas_NODE_SWAP_RandomSolution_start19,TSPA,83702,33889,49813,34,100,200
Deltas_NODE_SWAP_RandomSolution_start20,TSPA,90001,38109,51892,27,100,200
Deltas_NODE_SWAP_RandomSolution_start21,TSPA,89133,39587,49546,28,100,200
Deltas_NODE_SWAP_RandomSolution_start22,TSPA,83969,34932,49037,27,100,200
Deltas_NODE_SWAP_RandomSolution_start23,TSPA,86555,38345,48210,26,100,200
Deltas_NODE_SWAP_RandomSolution_start24,TSPA,89214,38746,50468,28,100,200
Deltas_NODE_SWAP_RandomSolution_start25,TSPA,87865,38703,49162,32,100,200
Deltas_NODE_SWAP_RandomSolution_start26,TSPA,88432,36621,51811,26,100,200
Deltas_NODE_SWAP_RandomSolution_start27,TSPA,85452,36749,48703,28,100,200
Deltas_NODE_SWAP_RandomSolution_start28,TSPA,88532,40342,48190,26,100,200
Deltas_NODE_SWAP_RandomSolution_start29,TSPA,82328,33639,48689,26,100,200
Deltas_NODE_SWAP_RandomSolution_start30,TSPA,88433,38728,49705,28,100,200
Deltas_NODE_SWAP_RandomSolution_start31,TSPA,94919,46594,48325,22,100,200
Deltas_NODE_SWAP_RandomSolution_start32,TSPA,88835,38654,50181,43,100,200
Deltas_NODE_SWAP_RandomSolution_start33,TSPA,89346,39206,50140,34,100,200
Deltas_NODE_SWAP_RandomSolution_start34,TSPA,86451,38654,47797,28,100,200
Deltas_NODE_SWAP_RandomSolution_start35,TSPA,89697,40737,48960,26,100,200
Deltas_NODE_SWAP_RandomSolution_start36,TSPA,83582,33647,49935,37,100,200
Deltas_NODE_SWAP_RandomSolution_start37,TSPA,88668,40690,47978,30,100,200
Deltas_NODE_SWAP_RandomSolution_start38,TSPA,83628,35034,48594,25,100,200
Deltas_NODE_SWAP_RandomSolution_start39,TSPA,87264,37345,49919,25,100,200
Deltas_NODE_SWAP_RandomSolution_start40,TSPA,89282,40841,48441,26,100,200
Deltas_NODE_SWAP_RandomSolution_start41,TSPA,88042,37421,50621,30,100,200
Deltas_NODE_SWAP_RandomSolution_start42,TSPA,89327,39818,49509,27,100,200
Deltas_NODE_SWAP_RandomSolution_start43,TSPA,88556,40216,48340,27,100,200
