algorithm,instance,objective_value,path_length,node_costs,computation_time_ms,selected_nodes,total_nodes
Deltas_NODE_SWAP_RandomSolution_start0,TSPB,62968,37560,25408,28,100,200
Deltas_NODE_SWAP_RandomSolution_start1,TSPB,64685,35682,29003,26,100,200
Deltas_NODE_SWAP_RandomSolution_start2,TSPB,60212,34649,25563,29,100,200
Deltas_NODE_SWAP_RandomSolution_start3,TSPB,63559,38271,25288,27,100,200
Deltas_NODE_SWAP_RandomSolution_start4,TSPB,62951,34094,28857,26,100,200
Deltas_NODE_SWAP_RandomSolution_start5,TSPB,64182,39848,24334,28,100,200
Deltas_NODE_SWAP_RandomSolution_start6,TSPB,60969,35836,25133,29,100,200
Deltas_NODE_SWAP_RandomSolution_start7,TSPB,62408,36226,26182,30,100,200
Deltas_NODE_SWAP_RandomSolution_start8,TSPB,62995,35470,27525,28,100,200
Deltas_NODE_SWAP_RandomSolution_start9,TSPB,62878,35672,27206,30,100,200
Deltas_NODE_SWAP_RandomSolution_start10,TSPB,66824,39968,26856,27,100,200
Deltas_NODE_SWAP_RandomSolution_start11,TSPB,62731,36479,26252,29,100,200
Deltas_NODE_SWAP_RandomSolution_start12,TSPB,63649,36155,27494,29,100,200
Deltas_NODE_SWAP_RandomSolution_start13,TSPB,58440,32735,25705,28,100,200
Deltas_NODE_SWAP_RandomSolution_start14,TSPB,62922,36433,26489,32,100,200
Deltas_NODE_SWAP_RandomSolution_start15,TSPB,67064,40123,26941,23,100,200
Deltas_NODE_SWAP_RandomSolution_start16,TSPB,64581,38999,25582,30,100,200
Deltas_NODE_SWAP_RandomSolution_start17,TSPB,66163,39098,27065,29,100,200
Deltas_NODE_SWAP_RandomSolution_start18,TSPB,66559,41756,24803,30,100,200
Deltas_NODE_SWAP_RandomSolution_start19,TSPB,65263,38185,27078,28,100,200
Deltas_NODE_SWAP_RandomSolution_start20,TSPB,58689,32411,26278,26,100,200
Deltas_NODE_SWAP_RandomSolution_start21,TSPB,59873,34593,25280,33,100,200
Deltas_NODE_SWAP_RandomSolution_start22,TSPB,56686,30861,25825,28,100,200
Deltas_NODE_SWAP_RandomSolution_start23,TSPB,61375,35176,26199,32,100,200
Deltas_NODE_SWAP_RandomSolution_start24,TSPB,62215,36851,25364,27,100,200
Deltas_NODE_SWAP_RandomSolution_start25,TSPB,63641,37898,25743,24,100,200
Deltas_NODE_SWAP_RandomSolution_start26,TSPB,65099,37485,27614,29,100,200
Deltas_NODE_SWAP_RandomSolution_start27,TSPB,61676,37029,24647,34,100,200
