algorithm,instance,objective_value,path_length,node_costs,computation_time_ms,selected_nodes,total_nodes
RandomSolution_start0,TSPA,266609,169300,97309,1,100,200
RandomSolution_start1,TSPA,264193,175494,88699,0,100,200
RandomSolution_start2,TSPA,256902,158926,97976,1,100,200
RandomSolution_start3,TSPA,268483,166696,101787,0,100,200
RandomSolution_start4,TSPA,279555,175829,103726,0,100,200
RandomSolution_start5,TSPA,260811,162460,98351,0,100,200
RandomSolution_start6,TSPA,268559,163428,105131,0,100,200
RandomSolution_start7,TSPA,260575,166361,94214,0,100,200
RandomSolution_start8,TSPA,275548,176768,98780,1,100,200
RandomSolution_start9,TSPA,280733,185959,94774,0,100,200
RandomSolution_start10,TSPA,257325,162192,95133,0,100,200
RandomSolution_start11,TSPA,255392,150215,105177,0,100,200
RandomSolution_start12,TSPA,271095,176795,94300,0,100,200
RandomSolution_start13,TSPA,250298,162380,87918,0,100,200
RandomSolution_start14,TSPA,257500,167149,90351,1,100,200
RandomSolution_start15,TSPA,257656,158256,99400,0,100,200
RandomSolution_start16,TSPA,279606,181305,98301,0,100,200
RandomSolution_start17,TSPA,270477,163581,106896,0,100,200
RandomSolution_start18,TSPA,267155,171554,95601,0,100,200
RandomSolution_start19,TSPA,260470,152881,107589,0,100,200
RandomSolution_start20,TSPA,262630,161948,100682,1,100,200
RandomSolution_start21,TSPA,282895,178535,104360,0,100,200
RandomSolution_start22,TSPA,263755,160271,103484,0,100,200
RandomSolution_start23,TSPA,265070,168894,96176,0,100,200
RandomSolution_start24,TSPA,279939,182535,97404,0,100,200
RandomSolution_start25,TSPA,268039,167594,100445,0,100,200
RandomSolution_start26,TSPA,282466,178934,103532,0,100,200
RandomSolution_start27,TSPA,275695,177528,98167,0,100,200
RandomSolution_start28,TSPA,250948,152620,98328,1,100,200
RandomSolution_start29,TSPA,250655,155464,95191,0,100,200
RandomSolution_start30,TSPA,272254,175877,96377,0,100,200
RandomSolution_start31,TSPA,276591,177662,98929,1,100,200
RandomSolution_start32,TSPA,263880,167127,96753,0,100,200
RandomSolution_start33,TSPA,266107,167571,98536,0,100,200
RandomSolution_start34,TSPA,261609,164060,97549,0,100,200
RandomSolution_start35,TSPA,273872,179083,94789,0,100,200
RandomSolution_start36,TSPA,273471,173332,100139,1,100,200
RandomSolution_start37,TSPA,272255,176676,95579,0,100,200
RandomSolution_start38,TSPA,255124,159870,95254,0,100,200
RandomSolution_start39,TSPA,260503,163797,96706,0,100,200
RandomSolution_start40,TSPA,263086,161993,101093,0,100,200
RandomSolution_start41,TSPA,265929,162657,103272,0,100,200
RandomSolution_start42,TSPA,267233,165048,102185,1,100,200
RandomSolution_start43,TSPA,271889,175634,96255,0,100,200
RandomSolution_start44,TSPA,279166,188238,90928,0,100,200
RandomSolution_start45,TSPA,259374,160173,99201,0,100,200
RandomSolution_start46,TSPA,261908,168080,93828,0,100,200
RandomSolution_start47,TSPA,267904,168844,99060,0,100,200
RandomSolution_start48,TSPA,256348,157605,98743,1,100,200
RandomSolution_start49,TSPA,277301,175564,101737,0,100,200
RandomSolution_start50,TSPA,265623,167079,98544,1,100,200
RandomSolution_start51,TSPA,259484,156787,102697,0,100,200
RandomSolution_start52,TSPA,268246,170945,97301,0,100,200
RandomSolution_start53,TSPA,257134,156104,101030,0,100,200
RandomSolution_start54,TSPA,270033,173554,96479,0,100,200
RandomSolution_start55,TSPA,273851,170030,103821,0,100,200
RandomSolution_start56,TSPA,241001,141718,99283,1,100,200
RandomSolution_start57,TSPA,283227,183047,100180,0,100,200
RandomSolution_start58,TSPA,263779,164290,99489,0,100,200
RandomSolution_start59,TSPA,270985,177631,93354,0,100,200
RandomSolution_start60,TSPA,259366,165096,94270,1,100,200
RandomSolution_start61,TSPA,265599,168592,97007,0,100,200
RandomSolution_start62,TSPA,269046,170704,98342,0,100,200
RandomSolution_start63,TSPA,252881,158843,94038,0,100,200
RandomSolution_start64,TSPA,266624,165991,100633,0,100,200
RandomSolution_start65,TSPA,254572,157788,96784,0,100,200
RandomSolution_start66,TSPA,261646,164967,96679,0,100,200
RandomSolution_start67,TSPA,268403,171792,96611,0,100,200
RandomSolution_start68,TSPA,271954,178333,93621,0,100,200
RandomSolution_start69,TSPA,262185,160897,101288,0,100,200
RandomSolution_start70,TSPA,259514,156845,102669,0,100,200
RandomSolution_start71,TSPA,262121,163600,98521,1,100,200
RandomSolution_start72,TSPA,267534,165385,102149,0,100,200
RandomSolution_start73,TSPA,247692,153421,94271,0,100,200
RandomSolution_start74,TSPA,250463,153251,97212,0,100,200
RandomSolution_start75,TSPA,267405,166471,100934,0,100,200
RandomSolution_start76,TSPA,267950,168661,99289,0,100,200
RandomSolution_start77,TSPA,264128,164618,99510,1,100,200
RandomSolution_start78,TSPA,262365,170026,92339,0,100,200
RandomSolution_start79,TSPA,263547,172194,91353,0,100,200
RandomSolution_start80,TSPA,270867,165316,105551,0,100,200
RandomSolution_start81,TSPA,257771,166575,91196,1,100,200
RandomSolution_start82,TSPA,250618,149707,100911,0,100,200
RandomSolution_start83,TSPA,271107,178658,92449,0,100,200
RandomSolution_start84,TSPA,274819,174473,100346,0,100,200
RandomSolution_start85,TSPA,273020,173570,99450,0,100,200
RandomSolution_start86,TSPA,248994,147326,101668,0,100,200
RandomSolution_start87,TSPA,269461,173425,96036,1,100,200
RandomSolution_start88,TSPA,261204,168050,93154,0,100,200
RandomSolution_start89,TSPA,282803,181157,101646,0,100,200
RandomSolution_start90,TSPA,263549,163564,99985,3,100,200
RandomSolution_start91,TSPA,256518,164496,92022,0,100,200
RandomSolution_start92,TSPA,256757,157102,99655,1,100,200
RandomSolution_start93,TSPA,262796,161993,100803,0,100,200
RandomSolution_start94,TSPA,262784,166903,95881,0,100,200
RandomSolution_start95,TSPA,255474,161546,93928,0,100,200
RandomSolution_start96,TSPA,264345,169380,94965,1,100,200
RandomSolution_start97,TSPA,267168,163892,103276,0,100,200
RandomSolution_start98,TSPA,268074,168000,100074,0,100,200
RandomSolution_start99,TSPA,271224,168013,103211,1,100,200
RandomSolution_start100,TSPA,266372,164891,101481,0,100,200
RandomSolution_start101,TSPA,277211,177805,99406,0,100,200
RandomSolution_start102,TSPA,272221,168047,104174,0,100,200
RandomSolution_start103,TSPA,261952,163417,98535,0,100,200
RandomSolution_start104,TSPA,265689,165303,100386,0,100,200
RandomSolution_start105,TSPA,264951,165766,99185,0,100,200
RandomSolution_start106,TSPA,265630,169845,95785,0,100,200
RandomSolution_start107,TSPA,259842,163372,96470,0,100,200
RandomSolution_start108,TSPA,259114,159362,99752,0,100,200
RandomSolution_start109,TSPA,251775,160898,90877,0,100,200
RandomSolution_start110,TSPA,267023,174314,92709,0,100,200
RandomSolution_start111,TSPA,262123,160530,101593,0,100,200
RandomSolution_start112,TSPA,256447,157251,99196,0,100,200
RandomSolution_start113,TSPA,267674,166276,101398,0,100,200
RandomSolution_start114,TSPA,286921,181472,105449,1,100,200
RandomSolution_start115,TSPA,257285,159076,98209,0,100,200
RandomSolution_start116,TSPA,264090,171459,92631,0,100,200
RandomSolution_start117,TSPA,279982,179696,100286,0,100,200
RandomSolution_start118,TSPA,264003,168356,95647,0,100,200
RandomSolution_start119,TSPA,283572,179999,103573,0,100,200
RandomSolution_start120,TSPA,242960,152347,90613,0,100,200
RandomSolution_start121,TSPA,243274,152379,90895,0,100,200
RandomSolution_start122,TSPA,267576,163473,104103,0,100,200
RandomSolution_start123,TSPA,258344,159868,98476,1,100,200
RandomSolution_start124,TSPA,275849,181391,94458,0,100,200
RandomSolution_start125,TSPA,276147,172597,103550,0,100,200
RandomSolution_start126,TSPA,279607,174193,105414,0,100,200
RandomSolution_start127,TSPA,271415,170492,100923,0,100,200
RandomSolution_start128,TSPA,281004,181775,99229,0,100,200
RandomSolution_start129,TSPA,269872,169932,99940,0,100,200
RandomSolution_start130,TSPA,268492,167978,100514,0,100,200
RandomSolution_start131,TSPA,258146,163868,94278,0,100,200
RandomSolution_start132,TSPA,283485,184482,99003,1,100,200
RandomSolution_start133,TSPA,257150,161723,95427,0,100,200
RandomSolution_start134,TSPA,256107,161386,94721,0,100,200
RandomSolution_start135,TSPA,242867,150356,92511,0,100,200
RandomSolution_start136,TSPA,272491,172971,99520,0,100,200
RandomSolution_start137,TSPA,264694,166081,98613,0,100,200
RandomSolution_start138,TSPA,253580,155345,98235,0,100,200
RandomSolution_start139,TSPA,288140,178021,110119,0,100,200
RandomSolution_start140,TSPA,285369,183335,102034,1,100,200
RandomSolution_start141,TSPA,272647,170910,101737,0,100,200
RandomSolution_start142,TSPA,249261,158895,90366,0,100,200
RandomSolution_start143,TSPA,264206,167417,96789,0,100,200
RandomSolution_start144,TSPA,262129,163522,98607,0,100,200
RandomSolution_start145,TSPA,262889,164091,98798,0,100,200
RandomSolution_start146,TSPA,245842,156819,89023,0,100,200
RandomSolution_start147,TSPA,257337,153564,103773,0,100,200
RandomSolution_start148,TSPA,275678,176970,98708,0,100,200
RandomSolution_start149,TSPA,241183,148138,93045,1,100,200
RandomSolution_start150,TSPA,267952,172661,95291,0,100,200
RandomSolution_start151,TSPA,276530,176194,100336,0,100,200
RandomSolution_start152,TSPA,258729,166305,92424,0,100,200
RandomSolution_start153,TSPA,256739,160792,95947,0,100,200
RandomSolution_start154,TSPA,264652,172721,91931,0,100,200
RandomSolution_start155,TSPA,283725,178888,104837,0,100,200
RandomSolution_start156,TSPA,269089,171084,98005,0,100,200
RandomSolution_start157,TSPA,238849,148965,89884,0,100,200
RandomSolution_start158,TSPA,246542,151589,94953,0,100,200
RandomSolution_start159,TSPA,276042,176640,99402,0,100,200
RandomSolution_start160,TSPA,248619,147060,101559,0,100,200
RandomSolution_start161,TSPA,271786,169104,102682,1,100,200
RandomSolution_start162,TSPA,257976,155983,101993,0,100,200
RandomSolution_start163,TSPA,262753,165437,97316,0,100,200
RandomSolution_start164,TSPA,269256,170659,98597,0,100,200
RandomSolution_start165,TSPA,258140,165876,92264,0,100,200
RandomSolution_start166,TSPA,270140,164444,105696,0,100,200
RandomSolution_start167,TSPA,279118,182871,96247,0,100,200
RandomSolution_start168,TSPA,258884,160003,98881,0,100,200
RandomSolution_start169,TSPA,253391,153025,100366,0,100,200
RandomSolution_start170,TSPA,262191,160695,101496,1,100,200
RandomSolution_start171,TSPA,266515,164605,101910,0,100,200
RandomSolution_start172,TSPA,281212,177940,103272,0,100,200
RandomSolution_start173,TSPA,277936,181097,96839,0,100,200
RandomSolution_start174,TSPA,257843,162465,95378,0,100,200
RandomSolution_start175,TSPA,276592,174194,102398,0,100,200
RandomSolution_start176,TSPA,263450,166488,96962,6,100,200
RandomSolution_start177,TSPA,275599,179238,96361,0,100,200
RandomSolution_start178,TSPA,269490,173033,96457,0,100,200
RandomSolution_start179,TSPA,261727,169511,92216,0,100,200
RandomSolution_start180,TSPA,281734,178823,102911,0,100,200
RandomSolution_start181,TSPA,270545,170842,99703,0,100,200
RandomSolution_start182,TSPA,270092,169339,100753,0,100,200
RandomSolution_start183,TSPA,275646,177567,98079,0,100,200
RandomSolution_start184,TSPA,271228,170869,100359,0,100,200
RandomSolution_start185,TSPA,253079,155270,97809,0,100,200
RandomSolution_start186,TSPA,242825,150291,92534,0,100,200
RandomSolution_start187,TSPA,274572,179161,95411,0,100,200
RandomSolution_start188,TSPA,263091,160809,102282,0,100,200
RandomSolution_start189,TSPA,266684,168709,97975,0,100,200
RandomSolution_start190,TSPA,262072,160543,101529,0,100,200
RandomSolution_start191,TSPA,257015,158830,98185,0,100,200
RandomSolution_start192,TSPA,268043,174612,93431,1,100,200
RandomSolution_start193,TSPA,261327,160580,100747,0,100,200
RandomSolution_start194,TSPA,276239,173658,102581,0,100,200
RandomSolution_start195,TSPA,251603,150485,101118,0,100,200
RandomSolution_start196,TSPA,248461,160744,87717,0,100,200
RandomSolution_start197,TSPA,268305,167046,101259,0,100,200
RandomSolution_start198,TSPA,265653,167318,98335,0,100,200
RandomSolution_start199,TSPA,257261,161015,96246,0,100,200
GreedyCycle_start0,TSPA,71488,23578,47910,16,100,200
GreedyCycle_start1,TSPA,72752,23585,49167,6,100,200
GreedyCycle_start2,TSPA,72639,24161,48478,17,100,200
GreedyCycle_start3,TSPA,72238,23760,48478,10,100,200
GreedyCycle_start4,TSPA,71761,23851,47910,6,100,200
GreedyCycle_start5,TSPA,71891,24115,47776,6,100,200
GreedyCycle_start6,TSPA,73061,24329,48732,8,100,200
GreedyCycle_start7,TSPA,73373,22852,50521,6,100,200
GreedyCycle_start8,TSPA,72839,23546,49293,7,100,200
GreedyCycle_start9,TSPA,71948,23548,48400,7,100,200
GreedyCycle_start10,TSPA,72475,24804,47671,12,100,200
GreedyCycle_start11,TSPA,73415,25081,48334,6,100,200
GreedyCycle_start12,TSPA,73023,23462,49561,7,100,200
GreedyCycle_start13,TSPA,74119,24298,49821,5,100,200
GreedyCycle_start14,TSPA,71948,23548,48400,3,100,200
GreedyCycle_start15,TSPA,72594,23799,48795,3,100,200
GreedyCycle_start16,TSPA,72815,24337,48478,3,100,200
GreedyCycle_start17,TSPA,73649,23166,50483,4,100,200
GreedyCycle_start18,TSPA,71926,24150,47776,4,100,200
GreedyCycle_start19,TSPA,73194,23503,49691,4,100,200
GreedyCycle_start20,TSPA,72584,24340,48244,3,100,200
GreedyCycle_start21,TSPA,72980,24302,48678,3,100,200
GreedyCycle_start22,TSPA,71926,24150,47776,3,100,200
GreedyCycle_start23,TSPA,72462,24250,48212,3,100,200
GreedyCycle_start24,TSPA,72702,24348,48354,3,100,200
GreedyCycle_start25,TSPA,72639,24161,48478,3,100,200
GreedyCycle_start26,TSPA,72752,23585,49167,3,100,200
GreedyCycle_start27,TSPA,72747,23227,49520,3,100,200
GreedyCycle_start28,TSPA,72920,24748,48172,3,100,200
GreedyCycle_start29,TSPA,72143,23759,48384,3,100,200
GreedyCycle_start30,TSPA,72749,25039,47710,4,100,200
GreedyCycle_start31,TSPA,72815,24337,48478,4,100,200
GreedyCycle_start32,TSPA,73131,23642,49489,3,100,200
GreedyCycle_start33,TSPA,73257,23498,49759,3,100,200
GreedyCycle_start34,TSPA,71773,24102,47671,2,100,200
GreedyCycle_start35,TSPA,71761,23851,47910,2,100,200
GreedyCycle_start36,TSPA,72530,23893,48637,2,100,200
GreedyCycle_start37,TSPA,72671,23498,49173,2,100,200
GreedyCycle_start38,TSPA,73894,24313,49581,2,100,200
GreedyCycle_start39,TSPA,72747,23227,49520,2,100,200
GreedyCycle_start40,TSPA,71948,23548,48400,2,100,200
GreedyCycle_start41,TSPA,72081,24305,47776,2,100,200
GreedyCycle_start42,TSPA,72129,24353,47776,2,100,200
GreedyCycle_start43,TSPA,72535,24864,47671,2,100,200
