algorithm,instance,objective_value,path_length,node_costs,computation_time_ms,selected_nodes,total_nodes
RandomSolution_start0,TSPB,226054,175909,50145,0,100,200
RandomSolution_start1,TSPB,207950,160606,47344,0,100,200
RandomSolution_start2,TSPB,212832,163577,49255,0,100,200
RandomSolution_start3,TSPB,218552,168733,49819,0,100,200
RandomSolution_start4,TSPB,204134,154972,49162,0,100,200
RandomSolution_start5,TSPB,231004,180972,50032,0,100,200
RandomSolution_start6,TSPB,220944,170517,50427,0,100,200
RandomSolution_start7,TSPB,220783,169821,50962,0,100,200
RandomSolution_start8,TSPB,233544,183221,50323,0,100,200
RandomSolution_start9,TSPB,224461,175674,48787,0,100,200
RandomSolution_start10,TSPB,218548,168149,50399,0,100,200
RandomSolution_start11,TSPB,206350,158124,48226,0,100,200
RandomSolution_start12,TSPB,228873,181438,47435,0,100,200
RandomSolution_start13,TSPB,224074,173729,50345,0,100,200
RandomSolution_start14,TSPB,212670,166378,46292,0,100,200
RandomSolution_start15,TSPB,210401,161911,48490,0,100,200
RandomSolution_start16,TSPB,204808,159745,45063,0,100,200
RandomSolution_start17,TSPB,205367,154208,51159,1,100,200
RandomSolution_start18,TSPB,213613,163565,50048,0,100,200
RandomSolution_start19,TSPB,221519,172858,48661,0,100,200
RandomSolution_start20,TSPB,208739,157059,51680,0,100,200
RandomSolution_start21,TSPB,214275,165476,48799,0,100,200
RandomSolution_start22,TSPB,225163,172726,52437,0,100,200
RandomSolution_start23,TSPB,220089,171122,48967,0,100,200
RandomSolution_start24,TSPB,208340,158882,49458,0,100,200
RandomSolution_start25,TSPB,224185,178200,45985,0,100,200
RandomSolution_start26,TSPB,201733,153344,48389,0,100,200
RandomSolution_start27,TSPB,225286,175075,50211,0,100,200
RandomSolution_start28,TSPB,207766,158420,49346,0,100,200
RandomSolution_start29,TSPB,212795,164809,47986,0,100,200
RandomSolution_start30,TSPB,209851,157390,52461,0,100,200
RandomSolution_start31,TSPB,224769,173406,51363,0,100,200
RandomSolution_start32,TSPB,213608,164078,49530,0,100,200
RandomSolution_start33,TSPB,225097,175605,49492,0,100,200
RandomSolution_start34,TSPB,213209,159685,53524,0,100,200
RandomSolution_start35,TSPB,199085,150363,48722,0,100,200
RandomSolution_start36,TSPB,208701,157931,50770,0,100,200
RandomSolution_start37,TSPB,214696,165509,49187,0,100,200
RandomSolution_start38,TSPB,206447,156639,49808,0,100,200
RandomSolution_start39,TSPB,222350,171219,51131,0,100,200
RandomSolution_start40,TSPB,206137,153830,52307,0,100,200
RandomSolution_start41,TSPB,217575,171447,46128,0,100,200
RandomSolution_start42,TSPB,221715,173146,48569,0,100,200
RandomSolution_start43,TSPB,218667,171778,46889,0,100,200
RandomSolution_start44,TSPB,206709,158041,48668,0,100,200
RandomSolution_start45,TSPB,215508,170249,45259,0,100,200
RandomSolution_start46,TSPB,203823,150301,53522,0,100,200
RandomSolution_start47,TSPB,209260,159834,49426,0,100,200
RandomSolution_start48,TSPB,215152,166203,48949,0,100,200
RandomSolution_start49,TSPB,208834,158984,49850,1,100,200
RandomSolution_start50,TSPB,214450,165532,48918,0,100,200
RandomSolution_start51,TSPB,215999,168144,47855,0,100,200
RandomSolution_start52,TSPB,222789,172107,50682,0,100,200
RandomSolution_start53,TSPB,206718,156246,50472,0,100,200
RandomSolution_start54,TSPB,203377,156125,47252,0,100,200
RandomSolution_start55,TSPB,217105,169558,47547,0,100,200
RandomSolution_start56,TSPB,215980,164474,51506,0,100,200
RandomSolution_start57,TSPB,213984,166297,47687,0,100,200
RandomSolution_start58,TSPB,227979,178381,49598,0,100,200
RandomSolution_start59,TSPB,204598,150198,54400,0,100,200
RandomSolution_start60,TSPB,221647,170831,50816,0,100,200
RandomSolution_start61,TSPB,213610,166900,46710,0,100,200
RandomSolution_start62,TSPB,214838,166977,47861,0,100,200
RandomSolution_start63,TSPB,215521,166650,48871,0,100,200
RandomSolution_start64,TSPB,231463,179770,51693,0,100,200
RandomSolution_start65,TSPB,208275,154247,54028,0,100,200
RandomSolution_start66,TSPB,203146,153577,49569,0,100,200
RandomSolution_start67,TSPB,220621,168180,52441,0,100,200
RandomSolution_start68,TSPB,211721,159899,51822,0,100,200
RandomSolution_start69,TSPB,202276,153802,48474,0,100,200
RandomSolution_start70,TSPB,210622,161706,48916,0,100,200
RandomSolution_start71,TSPB,221355,167887,53468,0,100,200
RandomSolution_start72,TSPB,214805,164475,50330,0,100,200
RandomSolution_start73,TSPB,214481,166992,47489,0,100,200
RandomSolution_start74,TSPB,205156,157359,47797,0,100,200
RandomSolution_start75,TSPB,212967,164663,48304,0,100,200
RandomSolution_start76,TSPB,232922,182392,50530,0,100,200
RandomSolution_start77,TSPB,213977,164520,49457,0,100,200
RandomSolution_start78,TSPB,202558,150464,52094,0,100,200
RandomSolution_start79,TSPB,210941,160064,50877,0,100,200
RandomSolution_start80,TSPB,227575,178256,49319,0,100,200
RandomSolution_start81,TSPB,207242,156007,51235,1,100,200
RandomSolution_start82,TSPB,214485,164814,49671,0,100,200
RandomSolution_start83,TSPB,214996,165895,49101,0,100,200
RandomSolution_start84,TSPB,206521,159071,47450,0,100,200
RandomSolution_start85,TSPB,199484,149199,50285,0,100,200
RandomSolution_start86,TSPB,220908,171058,49850,0,100,200
RandomSolution_start87,TSPB,205626,160241,45385,0,100,200
RandomSolution_start88,TSPB,223889,173841,50048,0,100,200
RandomSolution_start89,TSPB,213428,159638,53790,0,100,200
RandomSolution_start90,TSPB,224905,178379,46526,0,100,200
RandomSolution_start91,TSPB,217581,170219,47362,0,100,200
RandomSolution_start92,TSPB,219453,171458,47995,0,100,200
RandomSolution_start93,TSPB,222852,173652,49200,0,100,200
RandomSolution_start94,TSPB,218220,166471,51749,0,100,200
RandomSolution_start95,TSPB,200915,153359,47556,0,100,200
RandomSolution_start96,TSPB,212631,164247,48384,0,100,200
RandomSolution_start97,TSPB,204190,154700,49490,0,100,200
RandomSolution_start98,TSPB,201023,152240,48783,0,100,200
RandomSolution_start99,TSPB,215915,166860,49055,0,100,200
RandomSolution_start100,TSPB,197663,151016,46647,0,100,200
RandomSolution_start101,TSPB,225254,173431,51823,0,100,200
RandomSolution_start102,TSPB,212280,162646,49634,0,100,200
RandomSolution_start103,TSPB,227461,180695,46766,0,100,200
RandomSolution_start104,TSPB,214078,164888,49190,0,100,200
RandomSolution_start105,TSPB,222641,171265,51376,0,100,200
RandomSolution_start106,TSPB,204782,157670,47112,0,100,200
RandomSolution_start107,TSPB,221381,172104,49277,0,100,200
RandomSolution_start108,TSPB,198929,152777,46152,0,100,200
RandomSolution_start109,TSPB,203771,151534,52237,0,100,200
RandomSolution_start110,TSPB,215620,164793,50827,0,100,200
RandomSolution_start111,TSPB,216349,164654,51695,0,100,200
RandomSolution_start112,TSPB,207668,155669,51999,0,100,200
RandomSolution_start113,TSPB,227704,177403,50301,1,100,200
RandomSolution_start114,TSPB,214083,163495,50588,0,100,200
RandomSolution_start115,TSPB,219059,167309,51750,0,100,200
RandomSolution_start116,TSPB,211162,162187,48975,0,100,200
RandomSolution_start117,TSPB,221969,171179,50790,0,100,200
RandomSolution_start118,TSPB,211629,163879,47750,0,100,200
RandomSolution_start119,TSPB,217131,163919,53212,0,100,200
RandomSolution_start120,TSPB,224324,176385,47939,0,100,200
RandomSolution_start121,TSPB,208756,159199,49557,0,100,200
RandomSolution_start122,TSPB,214019,164145,49874,0,100,200
RandomSolution_start123,TSPB,215141,168406,46735,0,100,200
RandomSolution_start124,TSPB,213966,161124,52842,0,100,200
RandomSolution_start125,TSPB,203580,153623,49957,0,100,200
RandomSolution_start126,TSPB,211084,161776,49308,0,100,200
RandomSolution_start127,TSPB,222764,172250,50514,0,100,200
RandomSolution_start128,TSPB,216578,168335,48243,0,100,200
RandomSolution_start129,TSPB,209443,161121,48322,0,100,200
RandomSolution_start130,TSPB,199327,151711,47616,0,100,200
RandomSolution_start131,TSPB,216350,169335,47015,0,100,200
RandomSolution_start132,TSPB,212880,162633,50247,0,100,200
RandomSolution_start133,TSPB,204616,156162,48454,0,100,200
RandomSolution_start134,TSPB,215270,165152,50118,0,100,200
