algorithm,instance,objective_value,path_length,node_costs,computation_time_ms,selected_nodes,total_nodes
HEA_OPERATOR_1_LS_pop20_TWO_OPT,TSPA,69209,21773,47436,1103,100,200
HEA_OPERATOR_1_LS_pop20_TWO_OPT,TSPA,69391,21500,47891,1760,100,200
HEA_OPERATOR_1_LS_pop20_TWO_OPT,TSPA,69203,21494,47709,2469,100,200
HEA_OPERATOR_1_LS_pop20_TWO_OPT,TSPA,69291,21550,47741,2176,100,200
HEA_OPERATOR_1_LS_pop20_TWO_OPT,TSPA,69107,21640,47467,2911,100,200
HEA_OPERATOR_1_LS_pop20_TWO_OPT,TSPA,69319,21703,47616,2087,100,200
HEA_OPERATOR_1_LS_pop20_TWO_OPT,TSPA,69161,21707,47454,1584,100,200
HEA_OPERATOR_1_LS_pop20_TWO_OPT,TSPA,69258,21791,47467,1891,100,200
HEA_OPERATOR_1_LS_pop20_TWO_OPT,TSPA,69568,21715,47853,2479,100,200
HEA_OPERATOR_1_LS_pop20_TWO_OPT,TSPA,69437,21648,47789,1706,100,200
HEA_OPERATOR_1_LS_pop20_TWO_OPT,TSPA,69277,21633,47644,1601,100,200
HEA_OPERATOR_1_LS_pop20_TWO_OPT,TSPA,69211,21550,47661,2177,100,200
HEA_OPERATOR_1_LS_pop20_TWO_OPT,TSPA,69181,21524,47657,1783,100,200
HEA_OPERATOR_1_LS_pop20_TWO_OPT,TSPA,69151,21684,47467,2491,100,200
HEA_OPERATOR_1_LS_pop20_TWO_OPT,TSPA,69203,21494,47709,2229,100,200
HEA_OPERATOR_1_LS_pop20_TWO_OPT,TSPA,69167,21700,47467,1667,100,200
HEA_OPERATOR_1_LS_pop20_TWO_OPT,TSPA,69220,21705,47515,1400,100,200
HEA_OPERATOR_1_LS_pop20_TWO_OPT,TSPA,69442,21426,48016,2352,100,200
HEA_OPERATOR_1_LS_pop20_TWO_OPT,TSPA,69303,21234,48069,2192,100,200
HEA_OPERATOR_1_LS_pop20_TWO_OPT,TSPA,69107,21640,47467,2012,100,200
HEA_OPERATOR_2_LS_pop20_TWO_OPT,TSPA,69943,22018,47925,10095,100,200
HEA_OPERATOR_2_LS_pop20_TWO_OPT,TSPA,70032,22841,47191,11997,100,200
HEA_OPERATOR_2_LS_pop20_TWO_OPT,TSPA,70236,22577,47659,15708,100,200
HEA_OPERATOR_2_LS_pop20_TWO_OPT,TSPA,70247,22891,47356,12037,100,200
HEA_OPERATOR_2_LS_pop20_TWO_OPT,TSPA,70213,22537,47676,14203,100,200
HEA_OPERATOR_2_LS_pop20_TWO_OPT,TSPA,70260,22342,47918,13869,100,200
HEA_OPERATOR_2_LS_pop20_TWO_OPT,TSPA,70136,22417,47719,11652,100,200
HEA_OPERATOR_2_LS_pop20_TWO_OPT,TSPA,69799,22722,47077,12721,100,200
HEA_OPERATOR_2_LS_pop20_TWO_OPT,TSPA,70081,22434,47647,13189,100,200
HEA_OPERATOR_2_LS_pop20_TWO_OPT,TSPA,69698,21773,47925,15735,100,200
HEA_OPERATOR_2_LS_pop20_TWO_OPT,TSPA,70962,23357,47605,10477,100,200
HEA_OPERATOR_2_LS_pop20_TWO_OPT,TSPA,70273,22752,47521,11962,100,200
HEA_OPERATOR_2_LS_pop20_TWO_OPT,TSPA,70186,22261,47925,13850,100,200
HEA_OPERATOR_2_LS_pop20_TWO_OPT,TSPA,69735,21861,47874,12553,100,200
HEA_OPERATOR_2_LS_pop20_TWO_OPT,TSPA,69966,21573,48393,9691,100,200
HEA_OPERATOR_2_LS_pop20_TWO_OPT,TSPA,69610,21676,47934,12811,100,200
HEA_OPERATOR_2_LS_pop20_TWO_OPT,TSPA,70086,21969,48117,15431,100,200
HEA_OPERATOR_2_LS_pop20_TWO_OPT,TSPA,69657,21816,47841,18125,100,200
HEA_OPERATOR_2_LS_pop20_TWO_OPT,TSPA,70166,22338,47828,14640,100,200
HEA_OPERATOR_2_LS_pop20_TWO_OPT,TSPA,70109,22042,48067,14150,100,200
HEA_OPERATOR_2_noLS_pop20_TWO_OPT,TSPA,70158,22679,47479,49314,100,200
HEA_OPERATOR_2_noLS_pop20_TWO_OPT,TSPA,71197,23259,47938,65532,100,200
HEA_OPERATOR_2_noLS_pop20_TWO_OPT,TSPA,69979,22213,47766,40434,100,200
HEA_OPERATOR_2_noLS_pop20_TWO_OPT,TSPA,70009,22278,47731,44975,100,200
HEA_OPERATOR_2_noLS_pop20_TWO_OPT,TSPA,69942,22469,47473,57102,100,200
HEA_OPERATOR_2_noLS_pop20_TWO_OPT,TSPA,70510,22619,47891,61583,100,200
HEA_OPERATOR_2_noLS_pop20_TWO_OPT,TSPA,70096,22238,47858,40096,100,200
HEA_OPERATOR_2_noLS_pop20_TWO_OPT,TSPA,70899,22349,48550,30186,100,200
HEA_OPERATOR_2_noLS_pop20_TWO_OPT,TSPA,70583,22715,47868,43314,100,200
HEA_OPERATOR_2_noLS_pop20_TWO_OPT,TSPA,70430,23434,46996,37285,100,200
HEA_OPERATOR_2_noLS_pop20_TWO_OPT,TSPA,69780,22046,47734,59526,100,200
HEA_OPERATOR_2_noLS_pop20_TWO_OPT,TSPA,70243,22570,47673,45813,100,200
HEA_OPERATOR_2_noLS_pop20_TWO_OPT,TSPA,69582,21804,47778,49786,100,200
HEA_OPERATOR_2_noLS_pop20_TWO_OPT,TSPA,70117,22192,47925,45162,100,200
HEA_OPERATOR_2_noLS_pop20_TWO_OPT,TSPA,70544,22579,47965,58382,100,200
HEA_OPERATOR_2_noLS_pop20_TWO_OPT,TSPA,70162,22312,47850,31754,100,200
HEA_OPERATOR_2_noLS_pop20_TWO_OPT,TSPA,70827,23139,47688,40022,100,200
HEA_OPERATOR_2_noLS_pop20_TWO_OPT,TSPA,70525,22719,47806,35252,100,200
HEA_OPERATOR_2_noLS_pop20_TWO_OPT,TSPA,70629,23005,47624,75469,100,200
HEA_OPERATOR_2_noLS_pop20_TWO_OPT,TSPA,70798,23496,47302,33270,100,200
