algorithm,instance,objective_value,path_length,node_costs,computation_time_ms,selected_nodes,total_nodes
HEA_OPERATOR_1_LS_pop20_TWO_OPT,TSPB,43536,19090,24446,1422,100,200
HEA_OPERATOR_1_LS_pop20_TWO_OPT,TSPB,43971,19844,24127,625,100,200
HEA_OPERATOR_1_LS_pop20_TWO_OPT,TSPB,43456,19589,23867,2118,100,200
HEA_OPERATOR_1_LS_pop20_TWO_OPT,TSPB,43458,19066,24392,1203,100,200
HEA_OPERATOR_1_LS_pop20_TWO_OPT,TSPB,43563,19910,23653,1085,100,200
HEA_OPERATOR_1_LS_pop20_TWO_OPT,TSPB,43642,19826,23816,1454,100,200
HEA_OPERATOR_1_LS_pop20_TWO_OPT,TSPB,43561,19760,23801,1666,100,200
HEA_OPERATOR_1_LS_pop20_TWO_OPT,TSPB,43559,19572,23987,2265,100,200
HEA_OPERATOR_1_LS_pop20_TWO_OPT,TSPB,43492,19304,24188,1968,100,200
HEA_OPERATOR_1_LS_pop20_TWO_OPT,TSPB,43596,19864,23732,1531,100,200
HEA_OPERATOR_1_LS_pop20_TWO_OPT,TSPB,43536,19229,24307,1869,100,200
HEA_OPERATOR_1_LS_pop20_TWO_OPT,TSPB,43496,19450,24046,1622,100,200
HEA_OPERATOR_1_LS_pop20_TWO_OPT,TSPB,43524,19757,23767,2058,100,200
HEA_OPERATOR_1_LS_pop20_TWO_OPT,TSPB,43524,19757,23767,1547,100,200
HEA_OPERATOR_1_LS_pop20_TWO_OPT,TSPB,43611,19348,24263,2035,100,200
HEA_OPERATOR_1_LS_pop20_TWO_OPT,TSPB,43520,19743,23777,1784,100,200
HEA_OPERATOR_1_LS_pop20_TWO_OPT,TSPB,43456,19589,23867,1399,100,200
HEA_OPERATOR_1_LS_pop20_TWO_OPT,TSPB,43581,19871,23710,2269,100,200
HEA_OPERATOR_1_LS_pop20_TWO_OPT,TSPB,43561,19928,23633,1542,100,200
HEA_OPERATOR_1_LS_pop20_TWO_OPT,TSPB,43526,19645,23881,1397,100,200
HEA_OPERATOR_2_LS_pop20_TWO_OPT,TSPB,43981,19077,24904,12201,100,200
HEA_OPERATOR_2_LS_pop20_TWO_OPT,TSPB,44391,19495,24896,10344,100,200
HEA_OPERATOR_2_LS_pop20_TWO_OPT,TSPB,43780,19499,24281,14604,100,200
