algorithm,instance,objective_value,path_length,node_costs,computation_time_ms,selected_nodes,total_nodes
LNS_d-0.20_RANDOM_REMOVAL_ls-On_hood-TWO_OPT,TSPB,44645,19747,24898,7734,100,200
LNS_d-0.20_RANDOM_REMOVAL_ls-On_hood-TWO_OPT,TSPB,44408,20659,23749,7314,100,200
LNS_d-0.20_RANDOM_REMOVAL_ls-On_hood-TWO_OPT,TSPB,44298,20604,23694,6561,100,200
LNS_d-0.20_RANDOM_REMOVAL_ls-On_hood-TWO_OPT,TSPB,44932,20422,24510,6744,100,200
LNS_d-0.20_RANDOM_REMOVAL_ls-On_hood-TWO_OPT,TSPB,44836,20095,24741,6295,100,200
LNS_d-0.20_RANDOM_REMOVAL_ls-On_hood-TWO_OPT,TSPB,44408,19991,24417,6427,100,200
LNS_d-0.20_RANDOM_REMOVAL_ls-On_hood-TWO_OPT,TSPB,44111,19735,24376,6824,100,200
LNS_d-0.20_RANDOM_REMOVAL_ls-On_hood-TWO_OPT,TSPB,43565,19347,24218,7013,100,200
LNS_d-0.20_RANDOM_REMOVAL_ls-On_hood-TWO_OPT,TSPB,44917,21067,23850,5215,100,200
LNS_d-0.20_RANDOM_REMOVAL_ls-On_hood-TWO_OPT,TSPB,44488,20378,24110,6069,100,200
LNS_d-0.20_RANDOM_REMOVAL_ls-On_hood-TWO_OPT,TSPB,43997,20070,23927,6569,100,200
LNS_d-0.20_RANDOM_REMOVAL_ls-On_hood-TWO_OPT,TSPB,43753,18912,24841,6721,100,200
LNS_d-0.20_RANDOM_REMOVAL_ls-On_hood-TWO_OPT,TSPB,44276,19764,24512,5298,100,200
LNS_d-0.20_RANDOM_REMOVAL_ls-On_hood-TWO_OPT,TSPB,44462,20487,23975,6794,100,200
LNS_d-0.20_RANDOM_REMOVAL_ls-On_hood-TWO_OPT,TSPB,44637,19749,24888,6556,100,200
LNS_d-0.20_RANDOM_REMOVAL_ls-On_hood-TWO_OPT,TSPB,43864,19250,24614,6695,100,200
LNS_d-0.20_RANDOM_REMOVAL_ls-On_hood-TWO_OPT,TSPB,44165,19490,24675,6718,100,200
LNS_d-0.20_RANDOM_REMOVAL_ls-On_hood-TWO_OPT,TSPB,43777,20165,23612,6967,100,200
