algorithm,instance,objective_value,path_length,node_costs,computation_time_ms,selected_nodes,total_nodes
GreedyLS_Edges_Random_start0,TSPA,73199,22795,50404,150,100,200
GreedyLS_Edges_Random_start1,TSPA,74402,24820,49582,87,100,200
GreedyLS_Edges_Random_start2,TSPA,73543,24140,49403,80,100,200
GreedyLS_Edges_Random_start3,TSPA,72896,22512,50384,93,100,200
GreedyLS_Edges_Random_start4,TSPA,73152,23916,49236,70,100,200
GreedyLS_Edges_Random_start5,TSPA,73640,23203,50437,72,100,200
GreedyLS_Edges_Random_start6,TSPA,74214,24698,49516,68,100,200
GreedyLS_Edges_Random_start7,TSPA,74332,24660,49672,71,100,200
GreedyLS_Edges_Random_start8,TSPA,72256,23315,48941,69,100,200
GreedyLS_Edges_Random_start9,TSPA,73399,23387,50012,67,100,200
GreedyLS_Edges_Random_start10,TSPA,74484,25048,49436,81,100,200
GreedyLS_Edges_Random_start11,TSPA,73794,22927,50867,68,100,200
GreedyLS_Edges_Random_start12,TSPA,74553,22886,51667,76,100,200
GreedyLS_Edges_Random_start13,TSPA,72875,21959,50916,73,100,200
GreedyLS_Edges_Random_start14,TSPA,74249,24142,50107,68,100,200
GreedyLS_Edges_Random_start15,TSPA,75104,24960,50144,64,100,200
GreedyLS_Edges_Random_start16,TSPA,75178,24166,51012,67,100,200
GreedyLS_Edges_Random_start17,TSPA,74738,23905,50833,66,100,200
GreedyLS_Edges_Random_start18,TSPA,73843,24022,49821,67,100,200
GreedyLS_Edges_Random_start19,TSPA,75462,24022,51440,65,100,200
GreedyLS_Edges_Random_start20,TSPA,73307,23696,49611,66,100,200
GreedyLS_Edges_Random_start21,TSPA,73239,24231,49008,68,100,200
GreedyLS_Edges_Random_start22,TSPA,72518,24005,48513,73,100,200
GreedyLS_Edges_Random_start23,TSPA,75441,24504,50937,68,100,200
GreedyLS_Edges_Random_start24,TSPA,74022,24690,49332,70,100,200
GreedyLS_Edges_Random_start25,TSPA,73381,22600,50781,68,100,200
GreedyLS_Edges_Random_start26,TSPA,73134,21938,51196,69,100,200
GreedyLS_Edges_Random_start27,TSPA,72282,23061,49221,72,100,200
GreedyLS_Edges_Random_start28,TSPA,75544,24171,51373,71,100,200
GreedyLS_Edges_Random_start29,TSPA,74215,24882,49333,67,100,200
GreedyLS_Edges_Random_start30,TSPA,73173,22624,50549,68,100,200
GreedyLS_Edges_Random_start31,TSPA,72432,22888,49544,71,100,200
GreedyLS_Edges_Random_start32,TSPA,72900,22764,50136,71,100,200
GreedyLS_Edges_Random_start33,TSPA,73818,23644,50174,66,100,200
GreedyLS_Edges_Random_start34,TSPA,75790,24909,50881,71,100,200
GreedyLS_Edges_Random_start35,TSPA,74640,24644,49996,64,100,200
GreedyLS_Edges_Random_start36,TSPA,73238,23466,49772,76,100,200
GreedyLS_Edges_Random_start37,TSPA,75043,23801,51242,67,100,200
GreedyLS_Edges_Random_start38,TSPA,73885,23841,50044,66,100,200
GreedyLS_Edges_Random_start39,TSPA,72877,22386,50491,72,100,200
GreedyLS_Edges_Random_start40,TSPA,73720,22884,50836,68,100,200
GreedyLS_Edges_Random_start41,TSPA,74410,21902,52508,63,100,200
GreedyLS_Edges_Random_start42,TSPA,73967,24092,49875,72,100,200
GreedyLS_Edges_Random_start43,TSPA,73557,23440,50117,66,100,200
GreedyLS_Edges_Random_start44,TSPA,74687,24675,50012,73,100,200
GreedyLS_Edges_Random_start45,TSPA,72433,22876,49557,69,100,200
GreedyLS_Edges_Random_start46,TSPA,73209,24614,48595,67,100,200
GreedyLS_Edges_Random_start47,TSPA,72038,23952,48086,70,100,200
GreedyLS_Edges_Random_start48,TSPA,74809,23717,51092,69,100,200
GreedyLS_Edges_Random_start49,TSPA,75439,25677,49762,71,100,200
GreedyLS_Edges_Random_start50,TSPA,73496,23766,49730,73,100,200
GreedyLS_Edges_Random_start51,TSPA,75101,22865,52236,77,100,200
GreedyLS_Edges_Random_start52,TSPA,73866,23163,50703,71,100,200
GreedyLS_Edges_Random_start53,TSPA,73209,24507,48702,74,100,200
GreedyLS_Edges_Random_start54,TSPA,73067,23638,49429,66,100,200
GreedyLS_Edges_Random_start55,TSPA,72286,23715,48571,74,100,200
GreedyLS_Edges_Random_start56,TSPA,73080,23212,49868,70,100,200
GreedyLS_Edges_Random_start57,TSPA,74170,24137,50033,71,100,200
GreedyLS_Edges_Random_start58,TSPA,72602,22921,49681,79,100,200
GreedyLS_Edges_Random_start59,TSPA,74326,23750,50576,72,100,200
GreedyLS_Edges_Random_start60,TSPA,74519,24503,50016,70,100,200
GreedyLS_Edges_Random_start61,TSPA,74375,24166,50209,70,100,200
GreedyLS_Edges_Random_start62,TSPA,72889,21853,51036,71,100,200
GreedyLS_Edges_Random_start63,TSPA,74711,24648,50063,73,100,200
GreedyLS_Edges_Random_start64,TSPA,72525,22844,49681,73,100,200
GreedyLS_Edges_Random_start65,TSPA,75175,23171,52004,73,100,200
GreedyLS_Edges_Random_start66,TSPA,73270,23542,49728,69,100,200
GreedyLS_Edges_Random_start67,TSPA,73332,23900,49432,72,100,200
GreedyLS_Edges_Random_start68,TSPA,72719,21656,51063,63,100,200
GreedyLS_Edges_Random_start69,TSPA,72095,23721,48374,69,100,200
GreedyLS_Edges_Random_start70,TSPA,73977,24068,49909,73,100,200
GreedyLS_Edges_Random_start71,TSPA,72686,23502,49184,68,100,200
GreedyLS_Edges_Random_start72,TSPA,73866,22418,51448,69,100,200
GreedyLS_Edges_Random_start73,TSPA,74025,22849,51176,67,100,200
GreedyLS_Edges_Random_start74,TSPA,74995,24022,50973,67,100,200
GreedyLS_Edges_Random_start75,TSPA,72738,22273,50465,68,100,200
GreedyLS_Edges_Random_start76,TSPA,74328,24469,49859,73,100,200
GreedyLS_Edges_Random_start77,TSPA,72914,24793,48121,67,100,200
GreedyLS_Edges_Random_start78,TSPA,73448,24123,49325,63,100,200
GreedyLS_Edges_Random_start79,TSPA,73352,23458,49894,67,100,200
GreedyLS_Edges_Random_start80,TSPA,73603,23183,50420,67,100,200
GreedyLS_Edges_Random_start81,TSPA,74504,22394,52110,74,100,200
GreedyLS_Edges_Random_start82,TSPA,75805,24420,51385,65,100,200
GreedyLS_Edges_Random_start83,TSPA,73457,24809,48648,68,100,200
GreedyLS_Edges_Random_start84,TSPA,73765,24188,49577,67,100,200
GreedyLS_Edges_Random_start85,TSPA,73305,25180,48125,67,100,200
GreedyLS_Edges_Random_start86,TSPA,73252,24327,48925,69,100,200
GreedyLS_Edges_Random_start87,TSPA,72450,23634,48816,69,100,200
GreedyLS_Edges_Random_start88,TSPA,76076,24037,52039,67,100,200
GreedyLS_Edges_Random_start89,TSPA,73647,23318,50329,68,100,200
GreedyLS_Edges_Random_start90,TSPA,72905,22667,50238,75,100,200
GreedyLS_Edges_Random_start91,TSPA,73076,23036,50040,69,100,200
GreedyLS_Edges_Random_start92,TSPA,72305,23003,49302,66,100,200
GreedyLS_Edges_Random_start93,TSPA,74748,24742,50006,70,100,200
GreedyLS_Edges_Random_start94,TSPA,73534,24183,49351,71,100,200
GreedyLS_Edges_Random_start95,TSPA,73751,23911,49840,71,100,200
GreedyLS_Edges_Random_start96,TSPA,74137,23547,50590,66,100,200
GreedyLS_Edges_Random_start97,TSPA,73554,22366,51188,71,100,200
GreedyLS_Edges_Random_start98,TSPA,74107,23630,50477,77,100,200
GreedyLS_Edges_Random_start99,TSPA,74780,24915,49865,69,100,200
GreedyLS_Edges_Random_start100,TSPA,73909,22202,51707,73,100,200
GreedyLS_Edges_Random_start101,TSPA,72371,22726,49645,70,100,200
GreedyLS_Edges_Random_start102,TSPA,75812,24274,51538,65,100,200
GreedyLS_Edges_Random_start103,TSPA,74756,25300,49456,67,100,200
GreedyLS_Edges_Random_start104,TSPA,74961,23914,51047,73,100,200
GreedyLS_Edges_Random_start105,TSPA,72856,23019,49837,65,100,200
GreedyLS_Edges_Random_start106,TSPA,72579,23654,48925,65,100,200
GreedyLS_Edges_Random_start107,TSPA,73922,23484,50438,70,100,200
GreedyLS_Edges_Random_start108,TSPA,75071,23491,51580,71,100,200
GreedyLS_Edges_Random_start109,TSPA,73251,23992,49259,68,100,200
GreedyLS_Edges_Random_start110,TSPA,73035,24326,48709,75,100,200
GreedyLS_Edges_Random_start111,TSPA,73920,25305,48615,69,100,200
GreedyLS_Edges_Random_start112,TSPA,74353,23554,50799,68,100,200
GreedyLS_Edges_Random_start113,TSPA,73545,23152,50393,73,100,200
GreedyLS_Edges_Random_start114,TSPA,73636,25199,48437,72,100,200
GreedyLS_Edges_Random_start115,TSPA,73508,25589,47919,66,100,200
GreedyLS_Edges_Random_start116,TSPA,75226,22588,52638,72,100,200
GreedyLS_Edges_Random_start117,TSPA,74568,23512,51056,70,100,200
GreedyLS_Edges_Random_start118,TSPA,74444,22946,51498,69,100,200
GreedyLS_Edges_Random_start119,TSPA,72541,23834,48707,65,100,200
GreedyLS_Edges_Random_start120,TSPA,73147,23108,50039,71,100,200
GreedyLS_Edges_Random_start121,TSPA,72889,22419,50470,67,100,200
GreedyLS_Edges_Random_start122,TSPA,72647,24250,48397,60,100,200
GreedyLS_Edges_Random_start123,TSPA,73535,24039,49496,68,100,200
GreedyLS_Edges_Random_start124,TSPA,73174,23936,49238,70,100,200
GreedyLS_Edges_Random_start125,TSPA,74031,23662,50369,68,100,200
GreedyLS_Edges_Random_start126,TSPA,75077,23925,51152,66,100,200
GreedyLS_Edges_Random_start127,TSPA,73003,22619,50384,69,100,200
GreedyLS_Edges_Random_start128,TSPA,73860,22663,51197,69,100,200
GreedyLS_Edges_Random_start129,TSPA,73945,24221,49724,69,100,200
GreedyLS_Edges_Random_start130,TSPA,73133,24208,48925,76,100,200
GreedyLS_Edges_Random_start131,TSPA,73434,23696,49738,74,100,200
GreedyLS_Edges_Random_start132,TSPA,73577,24842,48735,64,100,200
GreedyLS_Edges_Random_start133,TSPA,74295,22782,51513,68,100,200
GreedyLS_Edges_Random_start134,TSPA,73178,23108,50070,67,100,200
GreedyLS_Edges_Random_start135,TSPA,72816,23239,49577,67,100,200
GreedyLS_Edges_Random_start136,TSPA,73248,24120,49128,67,100,200
GreedyLS_Edges_Random_start137,TSPA,74995,24373,50622,73,100,200
GreedyLS_Edges_Random_start138,TSPA,73888,23739,50149,68,100,200
GreedyLS_Edges_Random_start139,TSPA,73105,23850,49255,67,100,200
GreedyLS_Edges_Random_start140,TSPA,74716,24306,50410,63,100,200
GreedyLS_Edges_Random_start141,TSPA,73377,24045,49332,72,100,200
GreedyLS_Edges_Random_start142,TSPA,73280,24034,49246,74,100,200
GreedyLS_Edges_Random_start143,TSPA,74705,24676,50029,65,100,200
GreedyLS_Edges_Random_start144,TSPA,72910,23030,49880,67,100,200
GreedyLS_Edges_Random_start145,TSPA,74214,24208,50006,64,100,200
GreedyLS_Edges_Random_start146,TSPA,74100,22766,51334,68,100,200
GreedyLS_Edges_Random_start147,TSPA,74360,25575,48785,66,100,200
GreedyLS_Edges_Random_start148,TSPA,72885,23385,49500,65,100,200
GreedyLS_Edges_Random_start149,TSPA,74824,23045,51779,65,100,200
GreedyLS_Edges_Random_start150,TSPA,73053,22025,51028,69,100,200
GreedyLS_Edges_Random_start151,TSPA,74003,25539,48464,72,100,200
GreedyLS_Edges_Random_start152,TSPA,75430,24606,50824,65,100,200
GreedyLS_Edges_Random_start153,TSPA,72352,23491,48861,69,100,200
GreedyLS_Edges_Random_start154,TSPA,75476,25540,49936,68,100,200
GreedyLS_Edges_Random_start155,TSPA,74475,23235,51240,69,100,200
GreedyLS_Edges_Random_start156,TSPA,73623,23524,50099,67,100,200
GreedyLS_Edges_Random_start157,TSPA,73515,22957,50558,75,100,200
GreedyLS_Edges_Random_start158,TSPA,73735,23402,50333,69,100,200
GreedyLS_Edges_Random_start159,TSPA,72222,21909,50313,71,100,200
GreedyLS_Edges_Random_start160,TSPA,72901,22901,50000,75,100,200
GreedyLS_Edges_Random_start161,TSPA,73471,21989,51482,69,100,200
GreedyLS_Edges_Random_start162,TSPA,72897,23950,48947,73,100,200
GreedyLS_Edges_Random_start163,TSPA,75167,24618,50549,61,100,200
GreedyLS_Edges_Random_start164,TSPA,73753,24241,49512,72,100,200
GreedyLS_Edges_Random_start165,TSPA,72956,22818,50138,70,100,200
GreedyLS_Edges_Random_start166,TSPA,72668,23407,49261,74,100,200
GreedyLS_Edges_Random_start167,TSPA,72572,24002,48570,79,100,200
GreedyLS_Edges_Random_start168,TSPA,75696,25404,50292,66,100,200
GreedyLS_Edges_Random_start169,TSPA,73645,23293,50352,72,100,200
GreedyLS_Edges_Random_start170,TSPA,73310,24374,48936,69,100,200
GreedyLS_Edges_Random_start171,TSPA,73744,24106,49638,70,100,200
GreedyLS_Edges_Random_start172,TSPA,75392,25069,50323,65,100,200
GreedyLS_Edges_Random_start173,TSPA,74584,24443,50141,69,100,200
GreedyLS_Edges_Random_start174,TSPA,74224,24316,49908,66,100,200
GreedyLS_Edges_Random_start175,TSPA,73143,23609,49534,69,100,200
GreedyLS_Edges_Random_start176,TSPA,73642,24410,49232,65,100,200
GreedyLS_Edges_Random_start177,TSPA,73966,23601,50365,68,100,200
GreedyLS_Edges_Random_start178,TSPA,73306,23134,50172,63,100,200
GreedyLS_Edges_Random_start179,TSPA,73577,24083,49494,70,100,200
GreedyLS_Edges_Random_start180,TSPA,73231,22380,50851,63,100,200
GreedyLS_Edges_Random_start181,TSPA,74986,24411,50575,66,100,200
GreedyLS_Edges_Random_start182,TSPA,74565,24378,50187,70,100,200
GreedyLS_Edges_Random_start183,TSPA,77899,23810,54089,74,100,200
GreedyLS_Edges_Random_start184,TSPA,73994,24136,49858,68,100,200
GreedyLS_Edges_Random_start185,TSPA,73526,24547,48979,71,100,200
GreedyLS_Edges_Random_start186,TSPA,73648,22349,51299,68,100,200
GreedyLS_Edges_Random_start187,TSPA,73421,22707,50714,69,100,200
GreedyLS_Edges_Random_start188,TSPA,74731,24572,50159,75,100,200
GreedyLS_Edges_Random_start189,TSPA,74618,24718,49900,69,100,200
GreedyLS_Edges_Random_start190,TSPA,72820,23365,49455,72,100,200
GreedyLS_Edges_Random_start191,TSPA,74658,25182,49476,65,100,200
GreedyLS_Edges_Random_start192,TSPA,74462,24038,50424,68,100,200
GreedyLS_Edges_Random_start193,TSPA,73882,24760,49122,69,100,200
GreedyLS_Edges_Random_start194,TSPA,74100,23353,50747,66,100,200
GreedyLS_Edges_Random_start195,TSPA,73383,23657,49726,74,100,200
GreedyLS_Edges_Random_start196,TSPA,78086,25095,52991,68,100,200
GreedyLS_Edges_Random_start197,TSPA,74689,24400,50289,71,100,200
GreedyLS_Edges_Random_start198,TSPA,73210,23157,50053,73,100,200
GreedyLS_Edges_Random_start199,TSPA,74225,24426,49799,63,100,200
GreedyLS_Edges_Random_start200,TSPA,73582,22802,50780,73,100,200
GreedyLS_Edges_Random_start201,TSPA,74122,25477,48645,67,100,200
GreedyLS_Edges_Random_start202,TSPA,74856,23621,51235,75,100,200
GreedyLS_Edges_Random_start203,TSPA,73217,23699,49518,65,100,200
GreedyLS_Edges_Random_start204,TSPA,73639,22811,50828,72,100,200
GreedyLS_Edges_Random_start205,TSPA,74369,23802,50567,67,100,200
GreedyLS_Edges_Random_start206,TSPA,73099,23883,49216,69,100,200
GreedyLS_Edges_Random_start207,TSPA,73410,25000,48410,64,100,200
GreedyLS_Edges_Random_start208,TSPA,72624,22840,49784,66,100,200
GreedyLS_Edges_Random_start209,TSPA,73320,24142,49178,72,100,200
GreedyLS_Edges_Random_start210,TSPA,73453,23367,50086,70,100,200
GreedyLS_Edges_Random_start211,TSPA,74713,23571,51142,67,100,200
GreedyLS_Edges_Random_start212,TSPA,74755,26191,48564,65,100,200
GreedyLS_Edges_Random_start213,TSPA,74508,25040,49468,73,100,200
GreedyLS_Edges_Random_start214,TSPA,73649,22680,50969,73,100,200
GreedyLS_Edges_Random_start215,TSPA,72810,22838,49972,73,100,200
GreedyLS_Edges_Random_start216,TSPA,73493,24126,49367,73,100,200
GreedyLS_Edges_Random_start217,TSPA,75996,24356,51640,64,100,200
GreedyLS_Edges_Random_start218,TSPA,74277,23872,50405,75,100,200
GreedyLS_Edges_Random_start219,TSPA,71675,23339,48336,71,100,200
GreedyLS_Edges_Random_start220,TSPA,73202,22955,50247,71,100,200
GreedyLS_Edges_Random_start221,TSPA,74479,23839,50640,68,100,200
GreedyLS_Edges_Random_start222,TSPA,72984,24479,48505,73,100,200
GreedyLS_Edges_Random_start223,TSPA,72776,23136,49640,68,100,200
GreedyLS_Edges_Random_start224,TSPA,75338,25342,49996,64,100,200
GreedyLS_Edges_Random_start225,TSPA,75740,24344,51396,65,100,200
GreedyLS_Edges_Random_start226,TSPA,72072,23083,48989,66,100,200
GreedyLS_Edges_Random_start227,TSPA,72942,23930,49012,65,100,200
GreedyLS_Edges_Random_start228,TSPA,72269,23113,49156,67,100,200
GreedyLS_Edges_Random_start229,TSPA,74001,23611,50390,74,100,200
GreedyLS_Edges_Random_start230,TSPA,72893,23647,49246,65,100,200
GreedyLS_Edges_Random_start231,TSPA,72230,22498,49732,75,100,200
GreedyLS_Edges_Random_start232,TSPA,72379,23781,48598,69,100,200
GreedyLS_Edges_Random_start233,TSPA,74035,25045,48990,69,100,200
GreedyLS_Edges_Random_start234,TSPA,73989,23354,50635,66,100,200
GreedyLS_Edges_Random_start235,TSPA,73443,23402,50041,66,100,200
GreedyLS_Edges_Random_start236,TSPA,72550,23381,49169,69,100,200
GreedyLS_Edges_Random_start237,TSPA,73200,23275,49925,68,100,200
GreedyLS_Edges_Random_start238,TSPA,72076,23195,48881,63,100,200
GreedyLS_Edges_Random_start239,TSPA,72249,21556,50693,65,100,200
GreedyLS_Edges_Random_start240,TSPA,73524,23715,49809,65,100,200
GreedyLS_Edges_Random_start241,TSPA,73154,24296,48858,64,100,200
GreedyLS_Edges_Random_start242,TSPA,74037,24779,49258,72,100,200
GreedyLS_Edges_Random_start243,TSPA,75312,23297,52015,66,100,200
GreedyLS_Edges_Random_start244,TSPA,73730,23408,50322,71,100,200
GreedyLS_Edges_Random_start245,TSPA,74262,24040,50222,63,100,200
GreedyLS_Edges_Random_start246,TSPA,74868,24644,50224,68,100,200
GreedyLS_Edges_Random_start247,TSPA,73726,23855,49871,71,100,200
GreedyLS_Edges_Random_start248,TSPA,74300,24480,49820,71,100,200
GreedyLS_Edges_Random_start249,TSPA,74111,24195,49916,71,100,200
GreedyLS_Edges_Random_start250,TSPA,73074,24123,48951,69,100,200
GreedyLS_Edges_Random_start251,TSPA,73902,24434,49468,78,100,200
GreedyLS_Edges_Random_start252,TSPA,73777,24708,49069,66,100,200
GreedyLS_Edges_Random_start253,TSPA,73410,23003,50407,68,100,200
GreedyLS_Edges_Random_start254,TSPA,74824,23703,51121,68,100,200
GreedyLS_Edges_Random_start255,TSPA,74793,22667,52126,70,100,200
GreedyLS_Edges_Random_start256,TSPA,72150,23129,49021,66,100,200
GreedyLS_Edges_Random_start257,TSPA,74436,24065,50371,71,100,200
GreedyLS_Edges_Random_start258,TSPA,75227,22853,52374,68,100,200
GreedyLS_Edges_Random_start259,TSPA,73708,24486,49222,67,100,200
GreedyLS_Edges_Random_start260,TSPA,73796,21573,52223,64,100,200
GreedyLS_Edges_Random_start261,TSPA,74971,22992,51979,74,100,200
GreedyLS_Edges_Random_start262,TSPA,72955,24377,48578,71,100,200
GreedyLS_Edges_Random_start263,TSPA,73997,24388,49609,70,100,200
GreedyLS_Edges_Random_start264,TSPA,75332,23850,51482,62,100,200
GreedyLS_Edges_Random_start265,TSPA,75836,22130,53706,68,100,200
GreedyLS_Edges_Random_start266,TSPA,73335,23381,49954,70,100,200
GreedyLS_Edges_Random_start267,TSPA,74132,23148,50984,79,100,200
GreedyLS_Edges_Random_start268,TSPA,73617,22684,50933,70,100,200
GreedyLS_Edges_Random_start269,TSPA,75319,23739,51580,71,100,200
GreedyLS_Edges_Random_start270,TSPA,74012,23564,50448,68,100,200
GreedyLS_Edges_Random_start271,TSPA,75992,23620,52372,66,100,200
