algorithm,instance,objective_value,path_length,node_costs,computation_time_ms,selected_nodes,total_nodes
SteepestLS_Nodes_Random_start0,TSPB,57565,30623,26942,108,100,200
SteepestLS_Nodes_Random_start1,TSPB,64095,39086,25009,73,100,200
SteepestLS_Nodes_Random_start2,TSPB,62188,35881,26307,67,100,200
SteepestLS_Nodes_Random_start3,TSPB,61653,37199,24454,79,100,200
SteepestLS_Nodes_Random_start4,TSPB,65587,40984,24603,80,100,200
SteepestLS_Nodes_Random_start5,TSPB,63609,38653,24956,76,100,200
SteepestLS_Nodes_Random_start6,TSPB,60878,34889,25989,92,100,200
SteepestLS_Nodes_Random_start7,TSPB,58237,32529,25708,74,100,200
SteepestLS_Nodes_Random_start8,TSPB,60140,35121,25019,80,100,200
SteepestLS_Nodes_Random_start9,TSPB,64151,39377,24774,77,100,200
SteepestLS_Nodes_Random_start10,TSPB,54346,28441,25905,65,100,200
SteepestLS_Nodes_Random_start11,TSPB,64073,37727,26346,70,100,200
SteepestLS_Nodes_Random_start12,TSPB,67575,42584,24991,71,100,200
SteepestLS_Nodes_Random_start13,TSPB,63473,38222,25251,73,100,200
SteepestLS_Nodes_Random_start14,TSPB,63005,38343,24662,59,100,200
SteepestLS_Nodes_Random_start15,TSPB,61546,37545,24001,66,100,200
SteepestLS_Nodes_Random_start16,TSPB,68117,40682,27435,69,100,200
SteepestLS_Nodes_Random_start17,TSPB,59414,34228,25186,70,100,200
SteepestLS_Nodes_Random_start18,TSPB,65929,40972,24957,66,100,200
SteepestLS_Nodes_Random_start19,TSPB,67550,40792,26758,71,100,200
SteepestLS_Nodes_Random_start20,TSPB,59200,34387,24813,69,100,200
SteepestLS_Nodes_Random_start21,TSPB,62975,38048,24927,66,100,200
SteepestLS_Nodes_Random_start22,TSPB,65180,38460,26720,73,100,200
SteepestLS_Nodes_Random_start23,TSPB,60622,34929,25693,77,100,200
SteepestLS_Nodes_Random_start24,TSPB,62146,35542,26604,71,100,200
SteepestLS_Nodes_Random_start25,TSPB,59679,34222,25457,80,100,200
SteepestLS_Nodes_Random_start26,TSPB,64473,39883,24590,66,100,200
SteepestLS_Nodes_Random_start27,TSPB,65064,39599,25465,88,100,200
SteepestLS_Nodes_Random_start28,TSPB,62901,36283,26618,65,100,200
SteepestLS_Nodes_Random_start29,TSPB,60688,35266,25422,74,100,200
SteepestLS_Nodes_Random_start30,TSPB,66713,41852,24861,75,100,200
SteepestLS_Nodes_Random_start31,TSPB,64966,39544,25422,69,100,200
SteepestLS_Nodes_Random_start32,TSPB,65410,40754,24656,83,100,200
SteepestLS_Nodes_Random_start33,TSPB,61208,35271,25937,68,100,200
SteepestLS_Nodes_Random_start34,TSPB,66215,40730,25485,78,100,200
SteepestLS_Nodes_Random_start35,TSPB,66236,40720,25516,70,100,200
SteepestLS_Nodes_Random_start36,TSPB,65376,39110,26266,77,100,200
SteepestLS_Nodes_Random_start37,TSPB,58804,32032,26772,63,100,200
SteepestLS_Nodes_Random_start38,TSPB,59191,34671,24520,65,100,200
SteepestLS_Nodes_Random_start39,TSPB,63015,37365,25650,63,100,200
SteepestLS_Nodes_Random_start40,TSPB,64273,37226,27047,73,100,200
SteepestLS_Nodes_Random_start41,TSPB,63345,37780,25565,65,100,200
SteepestLS_Nodes_Random_start42,TSPB,60132,35712,24420,72,100,200
SteepestLS_Nodes_Random_start43,TSPB,64396,38705,25691,71,100,200
SteepestLS_Nodes_Random_start44,TSPB,58551,33157,25394,71,100,200
SteepestLS_Nodes_Random_start45,TSPB,61365,35272,26093,73,100,200
SteepestLS_Nodes_Random_start46,TSPB,63788,36747,27041,68,100,200
SteepestLS_Nodes_Random_start47,TSPB,60080,31550,28530,70,100,200
SteepestLS_Nodes_Random_start48,TSPB,64074,38631,25443,63,100,200
SteepestLS_Nodes_Random_start49,TSPB,64088,37918,26170,64,100,200
SteepestLS_Nodes_Random_start50,TSPB,66409,40837,25572,69,100,200
SteepestLS_Nodes_Random_start51,TSPB,67912,43386,24526,66,100,200
SteepestLS_Nodes_Random_start52,TSPB,58053,33431,24622,79,100,200
SteepestLS_Nodes_Random_start53,TSPB,59489,33770,25719,72,100,200
SteepestLS_Nodes_Random_start54,TSPB,58171,30729,27442,87,100,200
SteepestLS_Nodes_Random_start55,TSPB,57887,33572,24315,78,100,200
SteepestLS_Nodes_Random_start56,TSPB,60068,34768,25300,87,100,200
SteepestLS_Nodes_Random_start57,TSPB,63133,37378,25755,82,100,200
SteepestLS_Nodes_Random_start58,TSPB,66995,41094,25901,65,100,200
SteepestLS_Nodes_Random_start59,TSPB,58997,33563,25434,74,100,200
SteepestLS_Nodes_Random_start60,TSPB,60368,34087,26281,71,100,200
SteepestLS_Nodes_Random_start61,TSPB,65301,37266,28035,69,100,200
SteepestLS_Nodes_Random_start62,TSPB,61485,34168,27317,70,100,200
SteepestLS_Nodes_Random_start63,TSPB,64115,38956,25159,68,100,200
SteepestLS_Nodes_Random_start64,TSPB,69272,43616,25656,64,100,200
SteepestLS_Nodes_Random_start65,TSPB,64712,39539,25173,73,100,200
SteepestLS_Nodes_Random_start66,TSPB,66245,40464,25781,59,100,200
SteepestLS_Nodes_Random_start67,TSPB,60254,34501,25753,67,100,200
SteepestLS_Nodes_Random_start68,TSPB,66015,40403,25612,71,100,200
SteepestLS_Nodes_Random_start69,TSPB,60842,35876,24966,60,100,200
SteepestLS_Nodes_Random_start70,TSPB,59607,33203,26404,77,100,200
SteepestLS_Nodes_Random_start71,TSPB,65275,39823,25452,68,100,200
SteepestLS_Nodes_Random_start72,TSPB,62240,37580,24660,65,100,200
SteepestLS_Nodes_Random_start73,TSPB,63714,37944,25770,63,100,200
SteepestLS_Nodes_Random_start74,TSPB,61629,34711,26918,78,100,200
SteepestLS_Nodes_Random_start75,TSPB,61619,36313,25306,73,100,200
SteepestLS_Nodes_Random_start76,TSPB,72060,48147,23913,69,100,200
SteepestLS_Nodes_Random_start77,TSPB,61936,35915,26021,64,100,200
SteepestLS_Nodes_Random_start78,TSPB,66538,39408,27130,67,100,200
SteepestLS_Nodes_Random_start79,TSPB,66843,39608,27235,69,100,200
SteepestLS_Nodes_Random_start80,TSPB,61630,36143,25487,68,100,200
SteepestLS_Nodes_Random_start81,TSPB,59795,33785,26010,60,100,200
SteepestLS_Nodes_Random_start82,TSPB,62981,38540,24441,76,100,200
SteepestLS_Nodes_Random_start83,TSPB,63163,37957,25206,69,100,200
SteepestLS_Nodes_Random_start84,TSPB,60614,34617,25997,72,100,200
SteepestLS_Nodes_Random_start85,TSPB,61264,37068,24196,74,100,200
SteepestLS_Nodes_Random_start86,TSPB,63159,36477,26682,53,100,200
SteepestLS_Nodes_Random_start87,TSPB,68079,40898,27181,61,100,200
SteepestLS_Nodes_Random_start88,TSPB,59428,34024,25404,71,100,200
SteepestLS_Nodes_Random_start89,TSPB,60652,33556,27096,58,100,200
SteepestLS_Nodes_Random_start90,TSPB,59976,35491,24485,63,100,200
SteepestLS_Nodes_Random_start91,TSPB,63408,36228,27180,74,100,200
SteepestLS_Nodes_Random_start92,TSPB,63875,38965,24910,79,100,200
SteepestLS_Nodes_Random_start93,TSPB,57881,32741,25140,65,100,200
SteepestLS_Nodes_Random_start94,TSPB,66364,38057,28307,64,100,200
SteepestLS_Nodes_Random_start95,TSPB,58882,33467,25415,70,100,200
SteepestLS_Nodes_Random_start96,TSPB,60430,35026,25404,65,100,200
SteepestLS_Nodes_Random_start97,TSPB,62156,36748,25408,69,100,200
SteepestLS_Nodes_Random_start98,TSPB,68151,42794,25357,59,100,200
SteepestLS_Nodes_Random_start99,TSPB,63894,36493,27401,77,100,200
SteepestLS_Nodes_Random_start100,TSPB,59504,34124,25380,61,100,200
SteepestLS_Nodes_Random_start101,TSPB,69021,43347,25674,59,100,200
SteepestLS_Nodes_Random_start102,TSPB,63797,39077,24720,62,100,200
SteepestLS_Nodes_Random_start103,TSPB,60585,35912,24673,65,100,200
SteepestLS_Nodes_Random_start104,TSPB,62209,36586,25623,62,100,200
SteepestLS_Nodes_Random_start105,TSPB,62385,36316,26069,68,100,200
SteepestLS_Nodes_Random_start106,TSPB,65804,39561,26243,58,100,200
SteepestLS_Nodes_Random_start107,TSPB,63696,35349,28347,63,100,200
SteepestLS_Nodes_Random_start108,TSPB,65214,40211,25003,76,100,200
SteepestLS_Nodes_Random_start109,TSPB,60798,34781,26017,70,100,200
SteepestLS_Nodes_Random_start110,TSPB,58301,32539,25762,69,100,200
SteepestLS_Nodes_Random_start111,TSPB,62568,38170,24398,74,100,200
SteepestLS_Nodes_Random_start112,TSPB,62592,36532,26060,63,100,200
SteepestLS_Nodes_Random_start113,TSPB,61111,34139,26972,62,100,200
SteepestLS_Nodes_Random_start114,TSPB,65459,41551,23908,63,100,200
SteepestLS_Nodes_Random_start115,TSPB,65057,36863,28194,69,100,200
SteepestLS_Nodes_Random_start116,TSPB,60789,35454,25335,65,100,200
SteepestLS_Nodes_Random_start117,TSPB,62928,36244,26684,69,100,200
SteepestLS_Nodes_Random_start118,TSPB,59719,33453,26266,70,100,200
SteepestLS_Nodes_Random_start119,TSPB,59970,35164,24806,75,100,200
SteepestLS_Nodes_Random_start120,TSPB,57844,33474,24370,77,100,200
SteepestLS_Nodes_Random_start121,TSPB,63915,37533,26382,70,100,200
SteepestLS_Nodes_Random_start122,TSPB,63135,37611,25524,69,100,200
SteepestLS_Nodes_Random_start123,TSPB,59581,33742,25839,91,100,200
SteepestLS_Nodes_Random_start124,TSPB,64122,37640,26482,78,100,200
SteepestLS_Nodes_Random_start125,TSPB,62443,37926,24517,67,100,200
SteepestLS_Nodes_Random_start126,TSPB,71072,43122,27950,58,100,200
SteepestLS_Nodes_Random_start127,TSPB,62326,34982,27344,60,100,200
SteepestLS_Nodes_Random_start128,TSPB,63762,38731,25031,59,100,200
SteepestLS_Nodes_Random_start129,TSPB,61785,35635,26150,73,100,200
SteepestLS_Nodes_Random_start130,TSPB,68219,42778,25441,73,100,200
SteepestLS_Nodes_Random_start131,TSPB,67611,41573,26038,61,100,200
SteepestLS_Nodes_Random_start132,TSPB,62884,36176,26708,64,100,200
SteepestLS_Nodes_Random_start133,TSPB,64281,38426,25855,64,100,200
SteepestLS_Nodes_Random_start134,TSPB,69651,42722,26929,64,100,200
SteepestLS_Nodes_Random_start135,TSPB,67536,41573,25963,73,100,200
SteepestLS_Nodes_Random_start136,TSPB,65040,39036,26004,68,100,200
SteepestLS_Nodes_Random_start137,TSPB,58259,33496,24763,69,100,200
SteepestLS_Nodes_Random_start138,TSPB,70572,44347,26225,60,100,200
SteepestLS_Nodes_Random_start139,TSPB,62530,37075,25455,68,100,200
SteepestLS_Nodes_Random_start140,TSPB,62678,34461,28217,82,100,200
SteepestLS_Nodes_Random_start141,TSPB,61265,34787,26478,82,100,200
SteepestLS_Nodes_Random_start142,TSPB,61399,35811,25588,67,100,200
SteepestLS_Nodes_Random_start143,TSPB,64449,38610,25839,71,100,200
SteepestLS_Nodes_Random_start144,TSPB,63052,38827,24225,72,100,200
SteepestLS_Nodes_Random_start145,TSPB,61937,36925,25012,72,100,200
SteepestLS_Nodes_Random_start146,TSPB,65170,38590,26580,69,100,200
SteepestLS_Nodes_Random_start147,TSPB,63098,37539,25559,70,100,200
SteepestLS_Nodes_Random_start148,TSPB,61433,35097,26336,69,100,200
SteepestLS_Nodes_Random_start149,TSPB,68468,42925,25543,62,100,200
SteepestLS_Nodes_Random_start150,TSPB,60007,34745,25262,72,100,200
SteepestLS_Nodes_Random_start151,TSPB,65103,38883,26220,64,100,200
SteepestLS_Nodes_Random_start152,TSPB,64023,36391,27632,61,100,200
SteepestLS_Nodes_Random_start153,TSPB,57090,33173,23917,64,100,200
SteepestLS_Nodes_Random_start154,TSPB,65001,39400,25601,62,100,200
SteepestLS_Nodes_Random_start155,TSPB,65596,40108,25488,64,100,200
SteepestLS_Nodes_Random_start156,TSPB,63896,38772,25124,73,100,200
SteepestLS_Nodes_Random_start157,TSPB,60401,35518,24883,75,100,200
SteepestLS_Nodes_Random_start158,TSPB,64736,39074,25662,74,100,200
SteepestLS_Nodes_Random_start159,TSPB,60634,33280,27354,62,100,200
SteepestLS_Nodes_Random_start160,TSPB,58651,33153,25498,76,100,200
SteepestLS_Nodes_Random_start161,TSPB,65485,39990,25495,61,100,200
SteepestLS_Nodes_Random_start162,TSPB,60552,35115,25437,75,100,200
SteepestLS_Nodes_Random_start163,TSPB,60157,33947,26210,83,100,200
SteepestLS_Nodes_Random_start164,TSPB,64076,37171,26905,67,100,200
SteepestLS_Nodes_Random_start165,TSPB,66882,38299,28583,71,100,200
SteepestLS_Nodes_Random_start166,TSPB,56942,30467,26475,81,100,200
SteepestLS_Nodes_Random_start167,TSPB,62576,37095,25481,63,100,200
SteepestLS_Nodes_Random_start168,TSPB,66606,39861,26745,80,100,200
SteepestLS_Nodes_Random_start169,TSPB,63815,38332,25483,53,100,200
SteepestLS_Nodes_Random_start170,TSPB,62195,37713,24482,68,100,200
SteepestLS_Nodes_Random_start171,TSPB,68387,43081,25306,66,100,200
SteepestLS_Nodes_Random_start172,TSPB,61863,35353,26510,67,100,200
SteepestLS_Nodes_Random_start173,TSPB,62260,36162,26098,74,100,200
SteepestLS_Nodes_Random_start174,TSPB,58688,33056,25632,66,100,200
SteepestLS_Nodes_Random_start175,TSPB,61525,35759,25766,73,100,200
SteepestLS_Nodes_Random_start176,TSPB,63011,38160,24851,74,100,200
SteepestLS_Nodes_Random_start177,TSPB,61189,35763,25426,69,100,200
SteepestLS_Nodes_Random_start178,TSPB,59552,34370,25182,74,100,200
SteepestLS_Nodes_Random_start179,TSPB,60477,35052,25425,70,100,200
SteepestLS_Nodes_Random_start180,TSPB,60083,33838,26245,68,100,200
SteepestLS_Nodes_Random_start181,TSPB,61009,36581,24428,70,100,200
SteepestLS_Nodes_Random_start182,TSPB,65220,38484,26736,68,100,200
SteepestLS_Nodes_Random_start183,TSPB,60391,35678,24713,74,100,200
SteepestLS_Nodes_Random_start184,TSPB,61143,34722,26421,68,100,200
SteepestLS_Nodes_Random_start185,TSPB,64240,37959,26281,65,100,200
SteepestLS_Nodes_Random_start186,TSPB,60056,33960,26096,77,100,200
SteepestLS_Nodes_Random_start187,TSPB,64094,38358,25736,62,100,200
SteepestLS_Nodes_Random_start188,TSPB,63904,37044,26860,69,100,200
SteepestLS_Nodes_Random_start189,TSPB,65543,40423,25120,65,100,200
SteepestLS_Nodes_Random_start190,TSPB,57836,31888,25948,65,100,200
SteepestLS_Nodes_Random_start191,TSPB,59151,34615,24536,78,100,200
SteepestLS_Nodes_Random_start192,TSPB,66294,39115,27179,56,100,200
SteepestLS_Nodes_Random_start193,TSPB,57759,31388,26371,73,100,200
SteepestLS_Nodes_Random_start194,TSPB,63794,38363,25431,62,100,200
SteepestLS_Nodes_Random_start195,TSPB,66520,40420,26100,65,100,200
SteepestLS_Nodes_Random_start196,TSPB,64364,38272,26092,64,100,200
SteepestLS_Nodes_Random_start197,TSPB,65365,39667,25698,68,100,200
SteepestLS_Nodes_Random_start198,TSPB,65097,37573,27524,68,100,200
SteepestLS_Nodes_Random_start199,TSPB,59582,33422,26160,64,100,200
SteepestLS_Nodes_GreedyCycle_start0,TSPB,56836,23938,32898,36,100,200
SteepestLS_Nodes_GreedyCycle_start1,TSPB,55987,23229,32758,34,100,200
SteepestLS_Nodes_GreedyCycle_start2,TSPB,51162,23263,27899,34,100,200
SteepestLS_Nodes_GreedyCycle_start3,TSPB,56405,24113,32292,31,100,200
SteepestLS_Nodes_GreedyCycle_start4,TSPB,55083,26233,28850,31,100,200
SteepestLS_Nodes_GreedyCycle_start5,TSPB,56951,24071,32880,39,100,200
SteepestLS_Nodes_GreedyCycle_start6,TSPB,54178,22912,31266,30,100,200
SteepestLS_Nodes_GreedyCycle_start7,TSPB,49570,24435,25135,32,100,200
SteepestLS_Nodes_GreedyCycle_start8,TSPB,51048,24471,26577,46,100,200
SteepestLS_Nodes_GreedyCycle_start9,TSPB,52632,21101,31531,39,100,200
SteepestLS_Nodes_GreedyCycle_start10,TSPB,53176,22645,30531,30,100,200
SteepestLS_Nodes_GreedyCycle_start11,TSPB,52416,24065,28351,37,100,200
SteepestLS_Nodes_GreedyCycle_start12,TSPB,54965,23397,31568,41,100,200
SteepestLS_Nodes_GreedyCycle_start13,TSPB,53917,24924,28993,28,100,200
SteepestLS_Nodes_GreedyCycle_start14,TSPB,51411,23022,28389,34,100,200
SteepestLS_Nodes_GreedyCycle_start15,TSPB,52196,23303,28893,31,100,200
SteepestLS_Nodes_GreedyCycle_start16,TSPB,54258,25993,28265,32,100,200
SteepestLS_Nodes_GreedyCycle_start17,TSPB,53318,24675,28643,31,100,200
