algorithm,instance,objective_value,path_length,node_costs,computation_time_ms,selected_nodes,total_nodes
MSLS_STEEPEST_TWO_OPT,TSPA,71131,23131,48000,6045,100,200
MSLS_STEEPEST_TWO_OPT,TSPA,71478,22166,49312,5925,100,200
MSLS_STEEPEST_TWO_OPT,TSPA,71194,22666,48528,5862,100,200
MSLS_STEEPEST_TWO_OPT,TSPA,71537,22467,49070,5819,100,200
MSLS_STEEPEST_TWO_OPT,TSPA,71331,22858,48473,5827,100,200
MSLS_STEEPEST_TWO_OPT,TSPA,71172,22625,48547,5820,100,200
MSLS_STEEPEST_TWO_OPT,TSPA,71979,22866,49113,5803,100,200
MSLS_STEEPEST_TWO_OPT,TSPA,71801,22797,49004,5807,100,200
MSLS_STEEPEST_TWO_OPT,TSPA,70984,22306,48678,5776,100,200
MSLS_STEEPEST_TWO_OPT,TSPA,70915,22297,48618,5812,100,200
MSLS_STEEPEST_TWO_OPT,TSPA,71305,21422,49883,5782,100,200
MSLS_STEEPEST_TWO_OPT,TSPA,71600,23612,47988,5799,100,200
MSLS_STEEPEST_TWO_OPT,TSPA,71526,22076,49450,5804,100,200
MSLS_STEEPEST_TWO_OPT,TSPA,71033,22440,48593,5798,100,200
MSLS_STEEPEST_TWO_OPT,TSPA,71168,22783,48385,5825,100,200
MSLS_STEEPEST_TWO_OPT,TSPA,71051,23113,47938,5843,100,200
MSLS_STEEPEST_TWO_OPT,TSPA,70712,22400,48312,5835,100,200
MSLS_STEEPEST_TWO_OPT,TSPA,71170,22755,48415,5831,100,200
MSLS_STEEPEST_TWO_OPT,TSPA,71600,22392,49208,5805,100,200
MSLS_STEEPEST_TWO_OPT,TSPA,71040,22130,48910,5809,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext1,TSPA,70458,21955,48503,5831,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext1,TSPA,71126,22913,48213,5831,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext1,TSPA,71552,22890,48662,5831,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext1,TSPA,70861,22508,48353,5831,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext1,TSPA,70860,22971,47889,5831,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext1,TSPA,70319,22101,48218,5831,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext1,TSPA,71019,22498,48521,5831,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext1,TSPA,70604,21908,48696,5831,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext1,TSPA,70825,21506,49319,5831,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext1,TSPA,70411,21566,48845,5831,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext1,TSPA,70579,21864,48715,5831,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext1,TSPA,70268,22077,48191,5831,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext1,TSPA,70780,21931,48849,5831,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext1,TSPA,70481,21572,48909,5831,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext1,TSPA,70548,22251,48297,5831,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext1,TSPA,70691,22153,48538,5831,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext1,TSPA,71404,22607,48797,5831,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext1,TSPA,71093,22487,48606,5831,100,200
