algorithm,instance,objective_value,path_length,node_costs,computation_time_ms,selected_nodes,total_nodes
MSLS_STEEPEST_TWO_OPT,TSPB,46169,20336,25833,5840,100,200
MSLS_STEEPEST_TWO_OPT,TSPB,46028,20811,25217,5796,100,200
MSLS_STEEPEST_TWO_OPT,TSPB,45379,20242,25137,5750,100,200
MSLS_STEEPEST_TWO_OPT,TSPB,45808,20939,24869,5735,100,200
MSLS_STEEPEST_TWO_OPT,TSPB,45283,20209,25074,5785,100,200
MSLS_STEEPEST_TWO_OPT,TSPB,45923,19777,26146,5756,100,200
MSLS_STEEPEST_TWO_OPT,TSPB,45910,19868,26042,5792,100,200
MSLS_STEEPEST_TWO_OPT,TSPB,45917,20294,25623,5794,100,200
MSLS_STEEPEST_TWO_OPT,TSPB,45893,19054,26839,5786,100,200
MSLS_STEEPEST_TWO_OPT,TSPB,46210,21684,24526,5736,100,200
MSLS_STEEPEST_TWO_OPT,TSPB,45692,19461,26231,5780,100,200
MSLS_STEEPEST_TWO_OPT,TSPB,45410,20409,25001,5777,100,200
MSLS_STEEPEST_TWO_OPT,TSPB,46055,21021,25034,5772,100,200
MSLS_STEEPEST_TWO_OPT,TSPB,45968,20593,25375,5790,100,200
MSLS_STEEPEST_TWO_OPT,TSPB,46099,19524,26575,5806,100,200
MSLS_STEEPEST_TWO_OPT,TSPB,46094,19368,26726,5752,100,200
MSLS_STEEPEST_TWO_OPT,TSPB,45711,19131,26580,5779,100,200
MSLS_STEEPEST_TWO_OPT,TSPB,45100,20355,24745,5801,100,200
MSLS_STEEPEST_TWO_OPT,TSPB,45758,20339,25419,5798,100,200
MSLS_STEEPEST_TWO_OPT,TSPB,45167,18832,26335,5757,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext1,TSPB,43850,19025,24825,5779,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext1,TSPB,45451,20435,25016,5779,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext1,TSPB,46507,20896,25611,5779,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext1,TSPB,45954,19505,26449,5779,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext1,TSPB,44731,19634,25097,5779,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext1,TSPB,46474,20252,26222,5779,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext1,TSPB,45321,20487,24834,5779,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext1,TSPB,45755,20255,25500,5779,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext1,TSPB,45121,19999,25122,5779,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext1,TSPB,47412,20294,27118,5779,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext1,TSPB,46040,21725,24315,5779,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext1,TSPB,45953,20089,25864,5779,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext1,TSPB,45457,20272,25185,5779,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext1,TSPB,45860,19400,26460,5779,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext1,TSPB,45104,20436,24668,5779,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext1,TSPB,45525,19260,26265,5779,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext1,TSPB,45076,19592,25484,5779,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext1,TSPB,45678,19767,25911,5779,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext1,TSPB,45134,20680,24454,5779,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext1,TSPB,46386,19525,26861,5779,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext3,TSPB,44653,19742,24911,5779,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext3,TSPB,45553,20403,25150,5779,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext3,TSPB,44765,19592,25173,5779,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext3,TSPB,45479,19286,26193,5779,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext3,TSPB,44952,20420,24532,5779,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext3,TSPB,45497,19561,25936,5779,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext3,TSPB,45017,19333,25684,5779,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext3,TSPB,45136,19961,25175,5779,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext3,TSPB,45351,19443,25908,5779,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext3,TSPB,44972,20359,24613,5779,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext3,TSPB,45045,19507,25538,5779,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext3,TSPB,45425,20173,25252,5779,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext3,TSPB,45192,20135,25057,5780,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext3,TSPB,45035,19904,25131,5779,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext3,TSPB,44917,20669,24248,5780,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext3,TSPB,45422,20983,24439,5779,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext3,TSPB,45616,20503,25113,5779,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext3,TSPB,45617,20811,24806,5779,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext3,TSPB,44909,20081,24828,5779,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext3,TSPB,45532,20238,25294,5779,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext5,TSPB,45089,20430,24659,5779,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext5,TSPB,45056,19917,25139,5780,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext5,TSPB,44704,19815,24889,5780,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext5,TSPB,44940,19944,24996,5779,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext5,TSPB,44558,19732,24826,5780,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext5,TSPB,44858,19542,25316,5779,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext5,TSPB,45463,21188,24275,5780,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext5,TSPB,45497,20690,24807,5779,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext5,TSPB,45261,20231,25030,5782,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext5,TSPB,44777,19327,25450,5779,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext5,TSPB,44929,19876,25053,5779,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext5,TSPB,44832,20850,23982,5779,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext5,TSPB,44530,19846,24684,5779,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext5,TSPB,45017,19865,25152,5780,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext5,TSPB,45020,20615,24405,5779,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext5,TSPB,45136,20204,24932,5779,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext5,TSPB,45155,19842,25313,5779,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext5,TSPB,44716,21068,23648,5780,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext5,TSPB,44690,19773,24917,5780,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext5,TSPB,44553,19563,24990,5779,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext10,TSPB,44769,20170,24599,5781,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext10,TSPB,44700,20301,24399,5780,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext10,TSPB,44915,20265,24650,5782,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext10,TSPB,44868,20251,24617,5779,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext10,TSPB,45344,20492,24852,5779,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext10,TSPB,44920,20396,24524,5781,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext10,TSPB,44942,19904,25038,5779,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext10,TSPB,44745,20383,24362,5779,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext10,TSPB,44372,19574,24798,5780,100,200
ILS_STEEPEST_TWO_OPT_pert1_ext10,TSPB,44940,19935,25005,5781,100,200
