node_costs,computation_time_ms,instance,selected_nodes_count,total_nodes,path_length,algorithm,objective_value,base_algorithm
48670,17,TSPA,100,200,22843,GreedyCycle2Regret_w1_1_start0,71513,GreedyCycle2Regret_w1_1
48478,16,TSPA,100,200,23455,GreedyCycle2Regret_w1_1_start1,71933,GreedyCycle2Regret_w1_1
48326,21,TSPA,100,200,23579,GreedyCycle2Regret_w1_1_start2,71905,GreedyCycle2Regret_w1_1
48404,14,TSPA,100,200,23409,GreedyCycle2Regret_w1_1_start3,71813,GreedyCycle2Regret_w1_1
48329,4,TSPA,100,200,23606,GreedyCycle2Regret_w1_1_start4,71935,GreedyCycle2Regret_w1_1
48369,5,TSPA,100,200,23388,GreedyCycle2Regret_w1_1_start5,71757,GreedyCycle2Regret_w1_1
49274,3,TSPA,100,200,23177,GreedyCycle2Regret_w1_1_start6,72451,GreedyCycle2Regret_w1_1
48631,4,TSPA,100,200,23658,GreedyCycle2Regret_w1_1_start7,72289,GreedyCycle2Regret_w1_1
48784,4,TSPA,100,200,23063,GreedyCycle2Regret_w1_1_start8,71847,GreedyCycle2Regret_w1_1
48326,4,TSPA,100,200,23197,GreedyCycle2Regret_w1_1_start9,71523,GreedyCycle2Regret_w1_1
47835,3,TSPA,100,200,24052,GreedyCycle2Regret_w1_1_start10,71887,GreedyCycle2Regret_w1_1
49157,4,TSPA,100,200,23796,GreedyCycle2Regret_w1_1_start11,72953,GreedyCycle2Regret_w1_1
49156,4,TSPA,100,200,24260,GreedyCycle2Regret_w1_1_start12,73416,GreedyCycle2Regret_w1_1
49234,4,TSPA,100,200,23520,GreedyCycle2Regret_w1_1_start13,72754,GreedyCycle2Regret_w1_1
48326,4,TSPA,100,200,23197,GreedyCycle2Regret_w1_1_start14,71523,GreedyCycle2Regret_w1_1
48286,4,TSPA,100,200,23316,GreedyCycle2Regret_w1_1_start15,71602,GreedyCycle2Regret_w1_1
48326,4,TSPA,100,200,23691,GreedyCycle2Regret_w1_1_start16,72017,GreedyCycle2Regret_w1_1
49546,4,TSPA,100,200,23392,GreedyCycle2Regret_w1_1_start17,72938,GreedyCycle2Regret_w1_1
48369,4,TSPA,100,200,23423,GreedyCycle2Regret_w1_1_start18,71792,GreedyCycle2Regret_w1_1
48954,4,TSPA,100,200,23941,GreedyCycle2Regret_w1_1_start19,72895,GreedyCycle2Regret_w1_1
48964,4,TSPA,100,200,23430,GreedyCycle2Regret_w1_1_start20,72394,GreedyCycle2Regret_w1_1
48169,4,TSPA,100,200,23819,GreedyCycle2Regret_w1_1_start21,71988,GreedyCycle2Regret_w1_1
48496,5,TSPA,100,200,23472,GreedyCycle2Regret_w1_1_start22,71968,GreedyCycle2Regret_w1_1
48127,6,TSPA,100,200,22981,GreedyCycle2Regret_w1_1_start23,71108,GreedyCycle2Regret_w1_1
48947,6,TSPA,100,200,23484,GreedyCycle2Regret_w1_1_start24,72431,GreedyCycle2Regret_w1_1
48326,7,TSPA,100,200,23579,GreedyCycle2Regret_w1_1_start25,71905,GreedyCycle2Regret_w1_1
48478,7,TSPA,100,200,23455,GreedyCycle2Regret_w1_1_start26,71933,GreedyCycle2Regret_w1_1
48369,6,TSPA,100,200,23343,GreedyCycle2Regret_w1_1_start27,71712,GreedyCycle2Regret_w1_1
49030,6,TSPA,100,200,23471,GreedyCycle2Regret_w1_1_start28,72501,GreedyCycle2Regret_w1_1
48897,6,TSPA,100,200,23401,GreedyCycle2Regret_w1_1_start29,72298,GreedyCycle2Regret_w1_1
48525,6,TSPA,100,200,23799,GreedyCycle2Regret_w1_1_start30,72324,GreedyCycle2Regret_w1_1
48326,6,TSPA,100,200,23691,GreedyCycle2Regret_w1_1_start31,72017,GreedyCycle2Regret_w1_1
48856,6,TSPA,100,200,23295,GreedyCycle2Regret_w1_1_start32,72151,GreedyCycle2Regret_w1_1
49250,4,TSPA,100,200,23015,GreedyCycle2Regret_w1_1_start33,72265,GreedyCycle2Regret_w1_1
47895,4,TSPA,100,200,23490,GreedyCycle2Regret_w1_1_start34,71385,GreedyCycle2Regret_w1_1
48406,4,TSPA,100,200,23860,GreedyCycle2Regret_w1_1_start35,72266,GreedyCycle2Regret_w1_1
49090,4,TSPA,100,200,23372,GreedyCycle2Regret_w1_1_start36,72462,GreedyCycle2Regret_w1_1
48664,5,TSPA,100,200,23015,GreedyCycle2Regret_w1_1_start37,71679,GreedyCycle2Regret_w1_1
48994,5,TSPA,100,200,23535,GreedyCycle2Regret_w1_1_start38,72529,GreedyCycle2Regret_w1_1
48461,4,TSPA,100,200,23264,GreedyCycle2Regret_w1_1_start39,71725,GreedyCycle2Regret_w1_1
48326,4,TSPA,100,200,23197,GreedyCycle2Regret_w1_1_start40,71523,GreedyCycle2Regret_w1_1
47895,4,TSPA,100,200,23788,GreedyCycle2Regret_w1_1_start41,71683,GreedyCycle2Regret_w1_1
47895,4,TSPA,100,200,23788,GreedyCycle2Regret_w1_1_start42,71683,GreedyCycle2Regret_w1_1
48422,4,TSPA,100,200,23661,GreedyCycle2Regret_w1_1_start43,72083,GreedyCycle2Regret_w1_1
48326,4,TSPA,100,200,23579,GreedyCycle2Regret_w1_1_start44,71905,GreedyCycle2Regret_w1_1
49333,4,TSPA,100,200,23748,GreedyCycle2Regret_w1_1_start45,73081,GreedyCycle2Regret_w1_1
48369,3,TSPA,100,200,23578,GreedyCycle2Regret_w1_1_start46,71947,GreedyCycle2Regret_w1_1
48654,5,TSPA,100,200,23594,GreedyCycle2Regret_w1_1_start47,72248,GreedyCycle2Regret_w1_1
48486,3,TSPA,100,200,23801,GreedyCycle2Regret_w1_1_start48,72287,GreedyCycle2Regret_w1_1
48326,4,TSPA,100,200,23197,GreedyCycle2Regret_w1_1_start49,71523,GreedyCycle2Regret_w1_1
49342,4,TSPA,100,200,23643,GreedyCycle2Regret_w1_1_start50,72985,GreedyCycle2Regret_w1_1
48484,4,TSPA,100,200,23456,GreedyCycle2Regret_w1_1_start51,71940,GreedyCycle2Regret_w1_1
48326,4,TSPA,100,200,23264,GreedyCycle2Regret_w1_1_start52,71590,GreedyCycle2Regret_w1_1
48346,3,TSPA,100,200,23374,GreedyCycle2Regret_w1_1_start53,71720,GreedyCycle2Regret_w1_1
48403,3,TSPA,100,200,23852,GreedyCycle2Regret_w1_1_start54,72255,GreedyCycle2Regret_w1_1
48326,3,TSPA,100,200,23361,GreedyCycle2Regret_w1_1_start55,71687,GreedyCycle2Regret_w1_1
48326,3,TSPA,100,200,23691,GreedyCycle2Regret_w1_1_start56,72017,GreedyCycle2Regret_w1_1
48326,4,TSPA,100,200,23378,GreedyCycle2Regret_w1_1_start57,71704,GreedyCycle2Regret_w1_1
