algorithm,instance,objective_value,path_length,node_costs,computation_time_ms,selected_nodes,total_nodes
GreedyCycle2Regret_w1_1_start0,TSPA,71513,22843,48670,17,100,200
GreedyCycle2Regret_w1_1_start1,TSPA,71933,23455,48478,16,100,200
GreedyCycle2Regret_w1_1_start2,TSPA,71905,23579,48326,21,100,200
GreedyCycle2Regret_w1_1_start3,TSPA,71813,23409,48404,14,100,200
GreedyCycle2Regret_w1_1_start4,TSPA,71935,23606,48329,4,100,200
GreedyCycle2Regret_w1_1_start5,TSPA,71757,23388,48369,5,100,200
GreedyCycle2Regret_w1_1_start6,TSPA,72451,23177,49274,3,100,200
GreedyCycle2Regret_w1_1_start7,TSPA,72289,23658,48631,4,100,200
GreedyCycle2Regret_w1_1_start8,TSPA,71847,23063,48784,4,100,200
GreedyCycle2Regret_w1_1_start9,TSPA,71523,23197,48326,4,100,200
GreedyCycle2Regret_w1_1_start10,TSPA,71887,24052,47835,3,100,200
GreedyCycle2Regret_w1_1_start11,TSPA,72953,23796,49157,4,100,200
GreedyCycle2Regret_w1_1_start12,TSPA,73416,24260,49156,4,100,200
GreedyCycle2Regret_w1_1_start13,TSPA,72754,23520,49234,4,100,200
GreedyCycle2Regret_w1_1_start14,TSPA,71523,23197,48326,4,100,200
GreedyCycle2Regret_w1_1_start15,TSPA,71602,23316,48286,4,100,200
GreedyCycle2Regret_w1_1_start16,TSPA,72017,23691,48326,4,100,200
GreedyCycle2Regret_w1_1_start17,TSPA,72938,23392,49546,4,100,200
GreedyCycle2Regret_w1_1_start18,TSPA,71792,23423,48369,4,100,200
GreedyCycle2Regret_w1_1_start19,TSPA,72895,23941,48954,4,100,200
GreedyCycle2Regret_w1_1_start20,TSPA,72394,23430,48964,4,100,200
GreedyCycle2Regret_w1_1_start21,TSPA,71988,23819,48169,4,100,200
GreedyCycle2Regret_w1_1_start22,TSPA,71968,23472,48496,5,100,200
GreedyCycle2Regret_w1_1_start23,TSPA,71108,22981,48127,6,100,200
GreedyCycle2Regret_w1_1_start24,TSPA,72431,23484,48947,6,100,200
GreedyCycle2Regret_w1_1_start25,TSPA,71905,23579,48326,7,100,200
GreedyCycle2Regret_w1_1_start26,TSPA,71933,23455,48478,7,100,200
GreedyCycle2Regret_w1_1_start27,TSPA,71712,23343,48369,6,100,200
GreedyCycle2Regret_w1_1_start28,TSPA,72501,23471,49030,6,100,200
GreedyCycle2Regret_w1_1_start29,TSPA,72298,23401,48897,6,100,200
GreedyCycle2Regret_w1_1_start30,TSPA,72324,23799,48525,6,100,200
GreedyCycle2Regret_w1_1_start31,TSPA,72017,23691,48326,6,100,200
GreedyCycle2Regret_w1_1_start32,TSPA,72151,23295,48856,6,100,200
GreedyCycle2Regret_w1_1_start33,TSPA,72265,23015,49250,4,100,200
GreedyCycle2Regret_w1_1_start34,TSPA,71385,23490,47895,4,100,200
GreedyCycle2Regret_w1_1_start35,TSPA,72266,23860,48406,4,100,200
GreedyCycle2Regret_w1_1_start36,TSPA,72462,23372,49090,4,100,200
GreedyCycle2Regret_w1_1_start37,TSPA,71679,23015,48664,5,100,200
GreedyCycle2Regret_w1_1_start38,TSPA,72529,23535,48994,5,100,200
GreedyCycle2Regret_w1_1_start39,TSPA,71725,23264,48461,4,100,200
GreedyCycle2Regret_w1_1_start40,TSPA,71523,23197,48326,4,100,200
GreedyCycle2Regret_w1_1_start41,TSPA,71683,23788,47895,4,100,200
GreedyCycle2Regret_w1_1_start42,TSPA,71683,23788,47895,4,100,200
GreedyCycle2Regret_w1_1_start43,TSPA,72083,23661,48422,4,100,200
GreedyCycle2Regret_w1_1_start44,TSPA,71905,23579,48326,4,100,200
GreedyCycle2Regret_w1_1_start45,TSPA,73081,23748,49333,4,100,200
GreedyCycle2Regret_w1_1_start46,TSPA,71947,23578,48369,3,100,200
GreedyCycle2Regret_w1_1_start47,TSPA,72248,23594,48654,5,100,200
GreedyCycle2Regret_w1_1_start48,TSPA,72287,23801,48486,3,100,200
GreedyCycle2Regret_w1_1_start49,TSPA,71523,23197,48326,4,100,200
GreedyCycle2Regret_w1_1_start50,TSPA,72985,23643,49342,4,100,200
GreedyCycle2Regret_w1_1_start51,TSPA,71940,23456,48484,4,100,200
GreedyCycle2Regret_w1_1_start52,TSPA,71590,23264,48326,4,100,200
GreedyCycle2Regret_w1_1_start53,TSPA,71720,23374,48346,3,100,200
GreedyCycle2Regret_w1_1_start54,TSPA,72255,23852,48403,3,100,200
GreedyCycle2Regret_w1_1_start55,TSPA,71687,23361,48326,3,100,200
GreedyCycle2Regret_w1_1_start56,TSPA,72017,23691,48326,3,100,200
GreedyCycle2Regret_w1_1_start57,TSPA,71704,23378,48326,4,100,200
GreedyCycle2Regret_w1_1_start58,TSPA,72630,24192,48438,4,100,200
GreedyCycle2Regret_w1_1_start59,TSPA,71947,23578,48369,4,100,200
GreedyCycle2Regret_w1_1_start60,TSPA,72791,23521,49270,4,100,200
GreedyCycle2Regret_w1_1_start61,TSPA,72475,23085,49390,4,100,200
GreedyCycle2Regret_w1_1_start62,TSPA,71523,23197,48326,4,100,200
GreedyCycle2Regret_w1_1_start63,TSPA,71750,23180,48570,4,100,200
GreedyCycle2Regret_w1_1_start64,TSPA,72672,23475,49197,4,100,200
GreedyCycle2Regret_w1_1_start65,TSPA,72027,23605,48422,3,100,200
GreedyCycle2Regret_w1_1_start66,TSPA,72762,23346,49416,5,100,200
GreedyCycle2Regret_w1_1_start67,TSPA,72645,23364,49281,4,100,200
GreedyCycle2Regret_w1_1_start68,TSPA,71385,23490,47895,3,100,200
GreedyCycle2Regret_w1_1_start69,TSPA,72218,23381,48837,4,100,200
GreedyCycle2Regret_w1_1_start70,TSPA,71750,23180,48570,4,100,200
GreedyCycle2Regret_w1_1_start71,TSPA,72164,23636,48528,4,100,200
GreedyCycle2Regret_w1_1_start72,TSPA,72452,23602,48850,4,100,200
GreedyCycle2Regret_w1_1_start73,TSPA,72456,23554,48902,4,100,200
GreedyCycle2Regret_w1_1_start74,TSPA,72489,23273,49216,3,100,200
GreedyCycle2Regret_w1_1_start75,TSPA,72345,23817,48528,4,100,200
GreedyCycle2Regret_w1_1_start76,TSPA,73321,23737,49584,4,100,200
GreedyCycle2Regret_w1_1_start77,TSPA,72569,23752,48817,4,100,200
GreedyCycle2Regret_w1_1_start78,TSPA,71905,23579,48326,4,100,200
GreedyCycle2Regret_w1_1_start79,TSPA,72301,23680,48621,4,100,200
GreedyCycle2Regret_w1_1_start80,TSPA,71940,23456,48484,4,100,200
GreedyCycle2Regret_w1_1_start81,TSPA,71630,23304,48326,4,100,200
GreedyCycle2Regret_w1_1_start82,TSPA,72035,23507,48528,4,100,200
GreedyCycle2Regret_w1_1_start83,TSPA,72261,22842,49419,4,100,200
GreedyCycle2Regret_w1_1_start84,TSPA,72266,23860,48406,3,100,200
GreedyCycle2Regret_w1_1_start85,TSPA,72553,23540,49013,4,100,200
GreedyCycle2Regret_w1_1_start86,TSPA,71933,23455,48478,4,100,200
GreedyCycle2Regret_w1_1_start87,TSPA,73135,23746,49389,4,100,200
GreedyCycle2Regret_w1_1_start88,TSPA,72887,23626,49261,4,100,200
GreedyCycle2Regret_w1_1_start89,TSPA,71208,22742,48466,4,100,200
GreedyCycle2Regret_w1_1_start90,TSPA,71673,23347,48326,4,100,200
GreedyCycle2Regret_w1_1_start91,TSPA,72904,23947,48957,4,100,200
GreedyCycle2Regret_w1_1_start92,TSPA,71704,23378,48326,3,100,200
GreedyCycle2Regret_w1_1_start93,TSPA,71708,23286,48422,4,100,200
GreedyCycle2Regret_w1_1_start94,TSPA,71750,23180,48570,4,100,200
GreedyCycle2Regret_w1_1_start95,TSPA,72110,23305,48805,4,100,200
GreedyCycle2Regret_w1_1_start96,TSPA,71704,23028,48676,4,100,200
GreedyCycle2Regret_w1_1_start97,TSPA,71933,23455,48478,4,100,200
GreedyCycle2Regret_w1_1_start98,TSPA,72773,23434,49339,4,100,200
GreedyCycle2Regret_w1_1_start99,TSPA,72667,23520,49147,4,100,200
GreedyCycle2Regret_w1_1_start100,TSPA,71750,23180,48570,4,100,200
GreedyCycle2Regret_w1_1_start101,TSPA,71933,23455,48478,4,100,200
GreedyCycle2Regret_w1_1_start102,TSPA,71523,23197,48326,4,100,200
