algorithm,instance,objective_value,path_length,node_costs,computation_time_ms,selected_nodes,total_nodes
GreedyCycle2Regret_w1_1_start0,TSPB,51749,18657,33092,5,100,200
GreedyCycle2Regret_w1_1_start1,TSPB,51886,19591,32295,4,100,200
GreedyCycle2Regret_w1_1_start2,TSPB,49288,20242,29046,5,100,200
GreedyCycle2Regret_w1_1_start3,TSPB,50083,17572,32511,4,100,200
GreedyCycle2Regret_w1_1_start4,TSPB,47550,20891,26659,4,100,200
GreedyCycle2Regret_w1_1_start5,TSPB,52253,19921,32332,5,100,200
GreedyCycle2Regret_w1_1_start6,TSPB,50821,20739,30082,4,100,200
GreedyCycle2Regret_w1_1_start7,TSPB,53033,19821,33212,4,100,200
GreedyCycle2Regret_w1_1_start8,TSPB,49197,20542,28655,4,100,200
GreedyCycle2Regret_w1_1_start9,TSPB,47424,21202,26222,4,100,200
GreedyCycle2Regret_w1_1_start10,TSPB,53213,18892,34321,4,100,200
GreedyCycle2Regret_w1_1_start11,TSPB,51749,18657,33092,5,100,200
GreedyCycle2Regret_w1_1_start12,TSPB,51914,18824,33090,4,100,200
GreedyCycle2Regret_w1_1_start13,TSPB,49084,20332,28752,4,100,200
GreedyCycle2Regret_w1_1_start14,TSPB,52001,20501,31500,4,100,200
GreedyCycle2Regret_w1_1_start15,TSPB,50083,17572,32511,4,100,200
GreedyCycle2Regret_w1_1_start16,TSPB,53956,19040,34916,4,100,200
GreedyCycle2Regret_w1_1_start17,TSPB,52706,19106,33600,4,100,200
GreedyCycle2Regret_w1_1_start18,TSPB,51009,17976,33033,5,100,200
GreedyCycle2Regret_w1_1_start19,TSPB,54018,19102,34916,4,100,200
GreedyCycle2Regret_w1_1_start20,TSPB,47199,21075,26124,4,100,200
GreedyCycle2Regret_w1_1_start21,TSPB,51988,19327,32661,4,100,200
GreedyCycle2Regret_w1_1_start22,TSPB,48156,20514,27642,4,100,200
GreedyCycle2Regret_w1_1_start23,TSPB,47660,21074,26586,4,100,200
GreedyCycle2Regret_w1_1_start24,TSPB,52667,18391,34276,4,100,200
GreedyCycle2Regret_w1_1_start25,TSPB,53794,20314,33480,4,100,200
GreedyCycle2Regret_w1_1_start26,TSPB,51704,21475,30229,4,100,200
GreedyCycle2Regret_w1_1_start27,TSPB,54018,19102,34916,4,100,200
GreedyCycle2Regret_w1_1_start28,TSPB,47550,20891,26659,4,100,200
GreedyCycle2Regret_w1_1_start29,TSPB,51749,18657,33092,4,100,200
GreedyCycle2Regret_w1_1_start30,TSPB,52898,20435,32463,4,100,200
GreedyCycle2Regret_w1_1_start31,TSPB,51743,20490,31253,4,100,200
GreedyCycle2Regret_w1_1_start32,TSPB,52683,19033,33650,4,100,200
GreedyCycle2Regret_w1_1_start33,TSPB,51749,18657,33092,4,100,200
GreedyCycle2Regret_w1_1_start34,TSPB,50969,21661,29308,4,100,200
GreedyCycle2Regret_w1_1_start35,TSPB,51749,18657,33092,4,100,200
GreedyCycle2Regret_w1_1_start36,TSPB,52598,20266,32332,4,100,200
GreedyCycle2Regret_w1_1_start37,TSPB,49684,21125,28559,4,100,200
GreedyCycle2Regret_w1_1_start38,TSPB,53651,19561,34090,4,100,200
GreedyCycle2Regret_w1_1_start39,TSPB,51917,18829,33088,4,100,200
GreedyCycle2Regret_w1_1_start40,TSPB,52654,19069,33585,4,100,200
GreedyCycle2Regret_w1_1_start41,TSPB,49532,21139,28393,4,100,200
GreedyCycle2Regret_w1_1_start42,TSPB,52796,20596,32200,4,100,200
GreedyCycle2Regret_w1_1_start43,TSPB,51003,20914,30089,4,100,200
GreedyCycle2Regret_w1_1_start44,TSPB,53554,18861,34693,4,100,200
GreedyCycle2Regret_w1_1_start45,TSPB,52253,19921,32332,4,100,200
GreedyCycle2Regret_w1_1_start46,TSPB,52098,19917,32181,4,100,200
GreedyCycle2Regret_w1_1_start47,TSPB,47922,21263,26659,4,100,200
GreedyCycle2Regret_w1_1_start48,TSPB,49042,20992,28050,4,100,200
GreedyCycle2Regret_w1_1_start49,TSPB,49238,21139,28099,4,100,200
GreedyCycle2Regret_w1_1_start50,TSPB,52048,20554,31494,4,100,200
GreedyCycle2Regret_w1_1_start51,TSPB,52453,20393,32060,4,100,200
GreedyCycle2Regret_w1_1_start52,TSPB,48343,20562,27781,5,100,200
GreedyCycle2Regret_w1_1_start53,TSPB,48309,20472,27837,4,100,200
GreedyCycle2Regret_w1_1_start54,TSPB,51743,20490,31253,4,100,200
GreedyCycle2Regret_w1_1_start55,TSPB,48054,21600,26454,4,100,200
GreedyCycle2Regret_w1_1_start56,TSPB,52326,19720,32606,4,100,200
GreedyCycle2Regret_w1_1_start57,TSPB,47550,20891,26659,4,100,200
GreedyCycle2Regret_w1_1_start58,TSPB,52261,19929,32332,4,100,200
GreedyCycle2Regret_w1_1_start59,TSPB,47550,20891,26659,4,100,200
GreedyCycle2Regret_w1_1_start60,TSPB,47199,21075,26124,4,100,200
GreedyCycle2Regret_w1_1_start61,TSPB,52598,20266,32332,4,100,200
GreedyCycle2Regret_w1_1_start62,TSPB,48054,21600,26454,5,100,200
GreedyCycle2Regret_w1_1_start63,TSPB,53213,18892,34321,4,100,200
GreedyCycle2Regret_w1_1_start64,TSPB,51567,21182,30385,4,100,200
GreedyCycle2Regret_w1_1_start65,TSPB,50172,17520,32652,4,100,200
GreedyCycle2Regret_w1_1_start66,TSPB,47647,21246,26401,4,100,200
GreedyCycle2Regret_w1_1_start67,TSPB,52146,19669,32477,4,100,200
GreedyCycle2Regret_w1_1_start68,TSPB,54296,19699,34597,4,100,200
GreedyCycle2Regret_w1_1_start69,TSPB,52475,18615,33860,4,100,200
GreedyCycle2Regret_w1_1_start70,TSPB,50083,17572,32511,3,100,200
GreedyCycle2Regret_w1_1_start71,TSPB,51754,19410,32344,3,100,200
GreedyCycle2Regret_w1_1_start72,TSPB,52654,19069,33585,4,100,200
GreedyCycle2Regret_w1_1_start73,TSPB,51743,20490,31253,4,100,200
GreedyCycle2Regret_w1_1_start74,TSPB,52122,19792,32330,4,100,200
GreedyCycle2Regret_w1_1_start75,TSPB,52053,21468,30585,4,100,200
GreedyCycle2Regret_w1_1_start76,TSPB,51939,21231,30708,4,100,200
GreedyCycle2Regret_w1_1_start77,TSPB,56747,17821,38926,4,100,200
GreedyCycle2Regret_w1_1_start78,TSPB,52253,19921,32332,4,100,200
GreedyCycle2Regret_w1_1_start79,TSPB,53183,20132,33051,4,100,200
GreedyCycle2Regret_w1_1_start80,TSPB,51578,20325,31253,4,100,200
GreedyCycle2Regret_w1_1_start81,TSPB,51753,21460,30293,4,100,200
GreedyCycle2Regret_w1_1_start82,TSPB,51988,19327,32661,4,100,200
GreedyCycle2Regret_w1_1_start83,TSPB,48583,20796,27787,4,100,200
GreedyCycle2Regret_w1_1_start84,TSPB,51891,18320,33571,4,100,200
GreedyCycle2Regret_w1_1_start85,TSPB,51047,18933,32114,4,100,200
GreedyCycle2Regret_w1_1_start86,TSPB,48135,21090,27045,4,100,200
GreedyCycle2Regret_w1_1_start87,TSPB,51930,19324,32606,4,100,200
GreedyCycle2Regret_w1_1_start88,TSPB,51361,21219,30142,4,100,200
GreedyCycle2Regret_w1_1_start89,TSPB,51704,21475,30229,4,100,200
GreedyCycle2Regret_w1_1_start90,TSPB,52137,19212,32925,4,100,200
GreedyCycle2Regret_w1_1_start91,TSPB,52598,20266,32332,4,100,200
GreedyCycle2Regret_w1_1_start92,TSPB,51896,19113,32783,4,100,200
GreedyCycle2Regret_w1_1_start93,TSPB,52922,21469,31453,4,100,200
GreedyCycle2Regret_w1_1_start94,TSPB,47922,21263,26659,4,100,200
GreedyCycle2Regret_w1_1_start95,TSPB,48135,21090,27045,4,100,200
GreedyCycle2Regret_w1_1_start96,TSPB,52719,19040,33679,4,100,200
GreedyCycle2Regret_w1_1_start97,TSPB,51753,21460,30293,4,100,200
GreedyCycle2Regret_w1_1_start98,TSPB,51328,19765,31563,3,100,200
GreedyCycle2Regret_w1_1_start99,TSPB,47995,20918,27077,4,100,200
GreedyCycle2Regret_w1_1_start100,TSPB,52726,19141,33585,5,100,200
GreedyCycle2Regret_w1_1_start101,TSPB,48049,20699,27350,4,100,200
GreedyCycle2Regret_w1_1_start102,TSPB,52654,19069,33585,4,100,200
GreedyCycle2Regret_w1_1_start103,TSPB,51704,21475,30229,4,100,200
GreedyCycle2Regret_w1_1_start104,TSPB,49191,20990,28201,4,100,200
GreedyCycle2Regret_w1_1_start105,TSPB,52172,20058,32114,4,100,200
GreedyCycle2Regret_w1_1_start106,TSPB,48054,21600,26454,4,100,200
GreedyCycle2Regret_w1_1_start107,TSPB,52156,19304,32852,4,100,200
GreedyCycle2Regret_w1_1_start108,TSPB,53512,20660,32852,4,100,200
GreedyCycle2Regret_w1_1_start109,TSPB,51749,18657,33092,4,100,200
GreedyCycle2Regret_w1_1_start110,TSPB,52970,21005,31965,4,100,200
GreedyCycle2Regret_w1_1_start111,TSPB,49206,21005,28201,4,100,200
GreedyCycle2Regret_w1_1_start112,TSPB,53956,19040,34916,4,100,200
GreedyCycle2Regret_w1_1_start113,TSPB,48299,20657,27642,4,100,200
GreedyCycle2Regret_w1_1_start114,TSPB,48198,21255,26943,5,100,200
GreedyCycle2Regret_w1_1_start115,TSPB,53213,18892,34321,4,100,200
GreedyCycle2Regret_w1_1_start116,TSPB,53205,20446,32759,3,100,200
GreedyCycle2Regret_w1_1_start117,TSPB,51681,20428,31253,4,100,200
GreedyCycle2Regret_w1_1_start118,TSPB,53215,20044,33171,4,100,200
GreedyCycle2Regret_w1_1_start119,TSPB,51335,18193,33142,4,100,200
GreedyCycle2Regret_w1_1_start120,TSPB,52045,19665,32380,4,100,200
GreedyCycle2Regret_w1_1_start121,TSPB,54049,19133,34916,4,100,200
GreedyCycle2Regret_w1_1_start122,TSPB,52482,19481,33001,4,100,200
GreedyCycle2Regret_w1_1_start123,TSPB,53154,19973,33181,4,100,200
GreedyCycle2Regret_w1_1_start124,TSPB,47929,21475,26454,4,100,200
GreedyCycle2Regret_w1_1_start125,TSPB,52725,19193,33532,4,100,200
GreedyCycle2Regret_w1_1_start126,TSPB,49202,20314,28888,4,100,200
GreedyCycle2Regret_w1_1_start127,TSPB,51704,21475,30229,4,100,200
GreedyCycle2Regret_w1_1_start128,TSPB,51237,21147,30090,4,100,200
GreedyCycle2Regret_w1_1_start129,TSPB,50769,21168,29601,4,100,200
GreedyCycle2Regret_w1_1_start130,TSPB,47995,20918,27077,3,100,200
GreedyCycle2Regret_w1_1_start131,TSPB,51886,19591,32295,4,100,200
GreedyCycle2Regret_w1_1_start132,TSPB,49084,20332,28752,4,100,200
GreedyCycle2Regret_w1_1_start133,TSPB,52883,19298,33585,4,100,200
GreedyCycle2Regret_w1_1_start134,TSPB,51426,18275,33151,4,100,200
GreedyCycle2Regret_w1_1_start135,TSPB,52654,19069,33585,4,100,200
GreedyCycle2Regret_w1_1_start136,TSPB,51578,20325,31253,4,100,200
GreedyCycle2Regret_w1_1_start137,TSPB,51393,21239,30154,4,100,200
GreedyCycle2Regret_w1_1_start138,TSPB,51749,18657,33092,4,100,200
GreedyCycle2Regret_w1_1_start139,TSPB,51853,18396,33457,4,100,200
GreedyCycle2Regret_w1_1_start140,TSPB,47995,20918,27077,4,100,200
GreedyCycle2Regret_w1_1_start141,TSPB,51753,21460,30293,4,100,200
GreedyCycle2Regret_w1_1_start142,TSPB,52253,19921,32332,4,100,200
GreedyCycle2Regret_w1_1_start143,TSPB,52635,19758,32877,4,100,200
GreedyCycle2Regret_w1_1_start144,TSPB,49421,21240,28181,4,100,200
GreedyCycle2Regret_w1_1_start145,TSPB,50083,17572,32511,4,100,200
GreedyCycle2Regret_w1_1_start146,TSPB,51753,21460,30293,4,100,200
GreedyCycle2Regret_w1_1_start147,TSPB,51078,19884,31194,4,100,200
GreedyCycle2Regret_w1_1_start148,TSPB,47647,21246,26401,4,100,200
GreedyCycle2Regret_w1_1_start149,TSPB,47550,20891,26659,4,100,200
GreedyCycle2Regret_w1_1_start150,TSPB,51974,18663,33311,4,100,200
GreedyCycle2Regret_w1_1_start151,TSPB,52023,18514,33509,4,100,200
